"id","cond","trial.","realPattern","userAnswer","correct","playstamp","playendstamp","enterstamp","reaction_time","diffCount_1","diffCount_2","diffCount_3"
"p5","Approach",1,234,232,0,5218,6723,8873,2150,1,0,0
"p5","Approach",2,314,124,0,9802,11307,13737,2430,0,1,0
"p5","Approach",3,231,231,1,14473,15976,19170,3194,0,0,0
"p5","Approach",4,421,321,0,19953,21456,23905,2449,1,0,0
"p5","Approach",5,213,213,1,24593,26097,28249,2152,0,0,0
"p5","Approach",6,341,341,1,29025,30528,33386,2858,0,0,0
"p5","Approach",7,141,141,1,34137,35641,39153,3512,0,0,0
"p5","Approach",8,131,131,1,39930,41437,43913,2476,0,0,0
"p5","Approach",9,413,413,1,44769,46276,48872,2596,0,0,0
"p5","Approach",10,434,434,1,49666,51169,53289,2120,0,0,0
"p5","Approach",11,134,134,1,54073,55576,57642,2066,0,0,0
"p5","Approach",12,313,121,0,58378,59882,62073,2191,0,0,1
"p5","Approach",13,212,212,1,62857,64360,66489,2129,0,0,0
"p5","Approach",14,141,141,1,67297,68800,72761,3961,0,0,0
"p5","Approach",15,414,414,1,73610,75114,77937,2823,0,0,0
"p5","Approach",16,423,423,1,78706,80210,82401,2191,0,0,0
"p5","Approach",17,123,121,0,83441,84945,87649,2704,1,0,0
"p5","Approach",18,123,121,0,88497,90000,92474,2474,1,0,0
"p5","Approach",19,241,241,1,93354,94858,100617,5759,0,0,0
"p5","Approach",20,321,321,1,101530,103032,105666,2634,0,0,0
"p5","Approach",21,241,241,1,136609,138116,140705,2589,0,0,0
"p5","Approach",22,412,412,1,141705,143213,145873,2660,0,0,0
"p5","Approach",23,424,424,1,146689,148193,150417,2224,0,0,0
"p5","Approach",24,424,424,1,151186,152689,154713,2024,0,0,0
"p5","Approach",25,132,132,1,155473,156976,159089,2113,0,0,0
"p5","Approach",26,124,124,1,159906,161409,163457,2048,0,0,0
"p5","Approach",27,232,232,1,164250,165755,168001,2246,0,0,0
"p5","Approach",28,431,431,1,168818,170322,172139,1817,0,0,0
"p5","Approach",29,413,413,1,172905,174409,176865,2456,0,0,0
"p5","Approach",30,414,414,1,177578,179081,181425,2344,0,0,0
"p5","Approach",31,434,434,1,182154,183657,186073,2416,0,0,0
"p5","Approach",32,313,313,1,186841,188345,190713,2368,0,0,0
"p5","Approach",33,314,314,1,191465,192968,195409,2441,0,0,0
"p5","Approach",34,243,243,1,196146,197650,199641,1991,0,0,0
"p5","Approach",35,341,341,1,200497,202001,204305,2304,0,0,0
"p5","Approach",36,242,242,1,205105,206608,209145,2537,0,0,0
"p5","Approach",37,343,343,1,209906,211409,213769,2360,0,0,0
