id,cond,trial#,realPattern,userAnswer,correct,c1,c2,c3,playstamp,playendstamp,enterstamp,reactionTime
p11_2,B(Approach),1,234,134,0,0,1,1,41870,43383,45563,2180
p11_2,B(Approach),2,242,141,0,0,1,0,46449,47953,50381,2428
p11_2,B(Approach),3,313,434,0,0,0,0,51279,52786,55452,2666
p11_2,B(Approach),4,324,414,0,0,0,1,56382,57885,60637,2752
p11_2,B(Approach),5,234,142,0,0,0,0,61622,63125,65274,2149
p11_2,B(Approach),6,232,142,0,0,0,1,66070,67572,70137,2565
p11_2,B(Approach),7,243,143,0,0,1,1,70996,72500,75006,2506
p11_2,B(Approach),8,423,413,0,1,0,1,75798,77302,79281,1979
p11_2,B(Approach),9,234,134,0,0,1,1,80064,81567,83791,2224
p11_2,B(Approach),10,243,143,0,0,1,1,84555,86059,88946,2887
p11_2,B(Approach),11,423,213,0,0,0,1,89880,91396,94482,3086
