id,cond,trial#,realPattern,userAnswer,correct,c1,c2,c3,playstamp,playendstamp,enterstamp,reactionTime
p11,B(Approach),1,131,143,0,1,0,0,39463,40983,46058,5075
p11,B(Approach),2,232,131,0,0,1,0,46994,48497,51581,3084
p11,B(Approach),3,323,313,0,1,0,1,52367,53871,55468,1597
p11,B(Approach),4,232,131,0,0,1,0,56227,57729,60669,2940
p11,B(Approach),5,412,431,0,1,0,0,61605,63108,65731,2623
p11,B(Approach),6,321,423,0,0,1,0,66519,68022,72204,4182
p11,B(Approach),7,434,432,0,1,1,0,73254,74758,78274,3516
p11,B(Approach),8,424,214,0,0,0,1,79031,80534,83607,3073
p11,B(Approach),9,132,341,0,0,0,0,84374,85877,87994,2117
p11,B(Approach),10,243,143,0,0,1,1,88678,90181,92914,2733
p11,B(Approach),11,312,312,1,1,1,1,93610,95112,96790,1678
p11,B(Approach),12,212,214,0,1,1,0,97443,98946,102675,3729
p11,B(Approach),13,413,234,0,0,0,0,103446,104949,107158,2209
p11,B(Approach),14,341,421,0,0,0,1,107818,109322,111702,2380
p11,B(Approach),15,121,123,0,1,1,0,112521,114024,116618,2594
p11,B(Approach),16,421,413,0,1,0,0,117435,118938,120909,1971
p11,B(Approach),17,414,434,0,1,0,1,121633,123136,125300,2164
p11,B(Approach),18,134,342,0,0,0,0,126003,127505,129682,2177
p11,B(Approach),19,242,141,0,0,1,0,130487,131990,134414,2424
p11,B(Approach),20,431,431,1,1,1,1,135735,137238,139701,2463
p11,B(Approach),21,213,134,0,0,0,0,170712,172219,174758,2539
p11,B(Approach),22,434,234,0,0,1,1,175573,177080,179955,2875
p11,B(Approach),23,123,123,1,1,1,1,180843,182347,184613,2266
p11,B(Approach),24,132,142,0,1,0,1,185382,186885,189248,2363
p11,B(Approach),25,232,131,0,0,1,0,189939,191444,193491,2047
p11,B(Approach),26,231,231,1,1,1,1,194395,195898,198448,2550
p11,B(Approach),27,323,424,0,0,1,0,199220,200723,203085,2362
p11,B(Approach),28,412,431,0,1,0,0,203853,205357,207483,2126
p11,B(Approach),29,241,143,0,0,1,0,208278,209781,212536,2755
p11,B(Approach),30,343,423,0,0,0,1,213253,214757,217103,2346
p11,B(Approach),31,313,434,0,0,0,0,217919,219422,222108,2686
p11,B(Approach),32,424,413,0,1,0,0,222837,224340,226345,2005
p11,B(Approach),33,313,434,0,0,0,0,227215,228717,230837,2120
p11,B(Approach),34,423,413,0,1,0,1,231556,233060,234982,1922
p11,B(Approach),35,141,341,0,0,1,1,235719,237224,239368,2144
p11,B(Approach),36,141,143,0,1,1,0,240062,241565,243591,2026
p11,B(Approach),37,312,431,0,0,0,0,244353,245856,248251,2395
p11,B(Approach),38,242,141,0,0,1,0,249038,250542,253072,2530
p11,B(Approach),39,342,321,0,1,0,0,253988,255491,258257,2766
p11,B(Approach),40,241,143,0,0,1,0,260581,262084,265556,3472
p11,B(Approach),41,131,141,0,1,0,1,296562,298073,300989,2916
p11,B(Approach),42,343,423,0,0,0,1,301806,303311,305652,2341
p11,B(Approach),43,424,414,0,1,0,1,306500,308002,311211,3209
p11,B(Approach),44,132,142,0,1,0,1,312026,313530,315727,2197
p11,B(Approach),45,234,132,0,0,1,0,316497,318000,321056,3056
p11,B(Approach),46,314,312,0,1,1,0,321785,323292,325823,2531
p11,B(Approach),47,342,421,0,0,0,0,326541,328044,330183,2139
p11,B(Approach),48,431,431,1,1,1,1,330878,332382,334342,1960
p11,B(Approach),49,242,142,0,0,1,1,335139,336643,342959,6316
p11,B(Approach),50,243,143,0,0,1,1,343728,345231,347620,2389
p11,B(Approach),51,421,413,0,1,0,0,348708,350215,352738,2523
p11,B(Approach),52,321,421,0,0,1,1,353474,354977,356841,1864
p11,B(Approach),53,231,243,0,1,0,0,357578,359082,361002,1920
p11,B(Approach),54,131,141,0,1,0,1,361694,363196,365946,2750
p11,B(Approach),55,434,431,0,1,1,0,366677,368181,370224,2043
p11,B(Approach),56,314,434,0,0,0,1,370898,372401,375817,3416
p11,B(Approach),57,421,213,0,0,0,0,376551,378054,380418,2364
p11,B(Approach),58,121,143,0,1,0,0,381098,382601,385089,2488
p11,B(Approach),59,123,124,0,1,1,0,385971,387474,389473,1999
p11,B(Approach),60,321,423,0,0,1,0,390309,391812,393666,1854
p11,B(Approach),61,414,414,1,1,1,1,425109,426622,429595,2973
p11,B(Approach),62,342,142,0,0,1,1,430329,431835,434051,2216
p11,B(Approach),63,213,134,0,0,0,0,434790,436293,438701,2408
p11,B(Approach),64,212,132,0,0,0,1,439455,440960,443405,2445
p11,B(Approach),65,431,431,1,1,1,1,444174,445677,447849,2172
p11,B(Approach),66,324,421,0,0,1,0,448520,450023,452139,2116
p11,B(Approach),67,234,134,0,0,1,1,452874,454378,456476,2098
p11,B(Approach),68,234,134,0,0,1,1,457172,458676,461486,2810
p11,B(Approach),69,314,312,0,1,1,0,462142,463645,466133,2488
p11,B(Approach),70,142,124,0,1,0,0,466845,468349,513241,44892
p11,B(Approach),71,124,342,0,0,0,0,514355,515872,581349,65477
p11,B(Approach),72,142,242,0,0,1,1,582322,583837,598256,14419
p11,B(Approach),73,412,121,0,0,0,0,599179,600686,619191,18505
p11,B(Approach),74,141,124,0,1,0,0,620715,622224,669947,47723
p11,B(Approach),75,214,123,0,0,0,0,672435,673946,695640,21694
p11,B(Approach),76,124,124,1,1,1,1,697602,699128,753484,54356
p11,B(Approach),77,214,213,0,1,1,0,772647,774159,780696,6537
p11,B(Approach),78,142,142,1,1,1,1,781429,782943,788072,5129
p11,B(Approach),79,143,143,1,1,1,1,833114,834633,837819,3186
p11,B(Approach),80,323,424,0,0,1,0,838834,840365,843170,2805
p11,B(Approach),81,343,424,0,0,0,0,874921,876442,878891,2449
p11,B(Approach),82,341,421,0,0,0,1,879641,881146,884449,3303
p11,B(Approach),83,124,124,1,1,1,1,885264,886768,889085,2317
p11,B(Approach),84,423,213,0,0,0,1,889831,891334,893358,2024
p11,B(Approach),85,432,241,0,0,0,0,894127,895631,897916,2285
p11,B(Approach),86,324,414,0,0,0,1,898652,900156,902723,2567
p11,B(Approach),87,214,134,0,0,0,1,903543,905045,906786,1741
p11,B(Approach),88,241,143,0,0,1,0,907524,909027,911570,2543
p11,B(Approach),89,313,413,0,0,1,1,912402,913906,916031,2125
p11,B(Approach),90,213,134,0,0,0,0,916715,918218,920012,1794
p11,B(Approach),91,423,413,0,1,0,1,920680,922183,924616,2433
p11,B(Approach),92,134,142,0,1,0,0,925324,926828,929623,2795
p11,B(Approach),93,121,121,1,1,1,1,930489,931992,934273,2281
p11,B(Approach),94,231,241,0,1,0,1,935201,936706,938817,2111
p11,B(Approach),95,324,412,0,0,0,0,939569,941071,943510,2439
p11,B(Approach),96,134,142,0,1,0,0,944241,945744,948443,2699
p11,B(Approach),97,143,143,1,1,1,1,949251,950755,952729,1974
p11,B(Approach),98,414,434,0,1,0,1,953463,954966,957798,2832
p11,B(Approach),99,432,431,0,1,1,0,958592,960095,962419,2324
p11,B(Approach),100,123,123,1,1,1,1,963452,964954,966575,1621
p11,B(Approach),101,341,421,0,0,0,1,998234,999748,1001257,1509
p11,B(Approach),102,312,431,0,0,0,0,1002038,1003541,1005334,1793
p11,B(Approach),103,432,241,0,0,0,0,1006023,1007527,1010760,3233
p11,B(Approach),104,413,213,0,0,1,1,1011597,1013100,1015165,2065
p11,B(Approach),105,413,213,0,0,1,1,1015861,1017364,1019423,2059
p11,B(Approach),106,212,121,0,0,0,0,1020121,1021624,1039857,18233
p11,B(Approach),107,143,434,0,0,0,0,1040851,1042362,1048173,5811
p11,B(Approach),108,243,143,0,0,1,1,1049188,1050691,1053819,3128
