id,cond,trial#,realPattern,userAnswer,correct,c1,c2,c3,playstamp,playendstamp,enterstamp,reactionTime
p11,C(Baseline2),1,141,121,0,1,0,1,3620,5124,7869,2745
p11,C(Baseline2),2,134,142,0,1,0,0,8634,10137,12378,2241
p11,C(Baseline2),3,143,123,0,1,0,1,13125,14628,16888,2260
p11,C(Baseline2),4,423,413,0,1,0,1,17666,19170,21972,2802
p11,C(Baseline2),5,121,123,0,1,1,0,22684,24187,26708,2521
p11,C(Baseline2),6,312,412,0,0,1,1,27585,29088,31150,2062
p11,C(Baseline2),7,241,243,0,1,1,0,31893,33396,35532,2136
p11,C(Baseline2),8,323,424,0,0,1,0,36265,37768,39751,1983
p11,C(Baseline2),9,212,242,0,1,0,1,40485,41988,49028,7040
p11,C(Baseline2),10,421,423,0,1,1,0,49814,51318,53899,2581
p11,C(Baseline2),11,414,434,0,1,0,1,55058,56561,59165,2604
p11,C(Baseline2),12,213,234,0,1,0,0,59879,61383,64854,3471
p11,C(Baseline2),13,231,243,0,1,0,0,65950,67453,70432,2979
p11,C(Baseline2),14,324,424,0,0,1,1,71139,72641,74792,2151
p11,C(Baseline2),15,434,234,0,0,1,1,75562,77065,79836,2771
p11,C(Baseline2),16,214,134,0,0,0,1,80816,82319,83979,1660
p11,C(Baseline2),17,314,414,0,0,1,1,84655,86158,89628,3470
p11,C(Baseline2),18,212,132,0,0,0,1,90380,91883,94684,2801
p11,C(Baseline2),19,413,413,1,1,1,1,95444,96947,99750,2803
p11,C(Baseline2),20,424,414,0,1,0,1,100563,102067,104312,2245
p11,C(Baseline2),21,313,414,0,0,1,0,135402,136910,140341,3431
p11,C(Baseline2),22,412,412,1,1,1,1,141159,142665,145299,2634
p11,C(Baseline2),23,232,131,0,0,1,0,146059,147562,151528,3966
p11,C(Baseline2),24,132,342,0,0,0,1,152204,153708,156045,2337
p11,C(Baseline2),25,321,413,0,0,0,0,156887,158391,160586,2195
p11,C(Baseline2),26,412,431,0,1,0,0,161374,162877,165922,3045
p11,C(Baseline2),27,242,141,0,0,1,0,167244,168748,171497,2749
p11,C(Baseline2),28,431,431,1,1,1,1,172400,173903,176300,2397
p11,C(Baseline2),29,143,143,1,1,1,1,177193,178695,180374,1679
p11,C(Baseline2),30,141,143,0,1,1,0,181146,182650,184625,1975
p11,C(Baseline2),31,121,123,0,1,1,0,185324,186828,189194,2366
p11,C(Baseline2),32,341,421,0,0,0,1,189963,191466,194009,2543
p11,C(Baseline2),33,123,124,0,1,1,0,194825,196328,198913,2585
p11,C(Baseline2),34,131,143,0,1,0,0,199621,201124,202993,1869
p11,C(Baseline2),35,342,421,0,0,0,0,203686,205189,207181,1992
p11,C(Baseline2),36,432,431,0,1,1,0,207853,209357,211424,2067
p11,C(Baseline2),37,243,143,0,0,1,1,212215,213720,215751,2031
p11,C(Baseline2),38,143,143,1,1,1,1,216504,218006,220859,2853
p11,C(Baseline2),39,241,143,0,0,1,0,221708,223211,225168,1957
p11,C(Baseline2),40,432,431,0,1,1,0,225953,227457,232418,4961
p11,C(Baseline2),41,234,142,0,0,0,0,264019,265526,268954,3428
p11,C(Baseline2),42,414,214,0,0,1,1,269699,271202,273557,2355
p11,C(Baseline2),43,341,421,0,0,0,1,274286,275791,278585,2794
p11,C(Baseline2),44,131,343,0,0,0,0,279304,280809,283411,2602
p11,C(Baseline2),45,132,241,0,0,0,0,284089,285592,288448,2856
p11,C(Baseline2),46,343,424,0,0,0,0,289127,290631,293961,3330
p11,C(Baseline2),47,213,134,0,0,0,0,294657,296160,298495,2335
p11,C(Baseline2),48,412,431,0,1,0,0,299219,300722,303004,2282
p11,C(Baseline2),49,134,342,0,0,0,0,303708,305211,308423,3212
p11,C(Baseline2),50,324,413,0,0,0,0,309326,310829,314015,3186
p11,C(Baseline2),51,312,431,0,0,0,0,314729,316232,319075,2843
p11,C(Baseline2),52,424,413,0,1,0,0,320556,322059,324155,2096
p11,C(Baseline2),53,142,321,0,0,0,0,325015,326518,329369,2851
p11,C(Baseline2),54,314,431,0,0,0,0,330224,331727,334142,2415
p11,C(Baseline2),55,312,431,0,0,0,0,334895,336398,338840,2442
p11,C(Baseline2),56,234,134,0,0,1,1,339492,340995,343308,2313
p11,C(Baseline2),57,234,134,0,0,1,1,344114,345618,347908,2290
p11,C(Baseline2),58,231,143,0,0,0,0,348578,350082,353250,3168
p11,C(Baseline2),59,342,421,0,0,0,0,354391,355894,358931,3037
p11,C(Baseline2),60,121,123,0,1,1,0,360122,361625,364906,3281
p11,C(Baseline2),61,434,434,1,1,1,1,396894,398400,400920,2520
p11,C(Baseline2),62,321,423,0,0,1,0,401723,403233,407282,4049
p11,C(Baseline2),63,232,131,0,0,1,0,408452,409956,412305,2349
p11,C(Baseline2),64,242,141,0,0,1,0,413220,414723,418271,3548
p11,C(Baseline2),65,214,134,0,0,0,1,419019,420522,423334,2812
p11,C(Baseline2),66,431,434,0,1,1,0,424071,425575,428602,3027
p11,C(Baseline2),67,241,143,0,0,1,0,429442,430946,434136,3190
p11,C(Baseline2),68,434,432,0,1,1,0,435117,436620,439501,2881
p11,C(Baseline2),69,324,424,0,0,1,1,440349,441853,446416,4563
p11,C(Baseline2),70,124,124,1,1,1,1,447228,448731,450800,2069
p11,C(Baseline2),71,421,413,0,1,0,0,451669,453172,456304,3132
p11,C(Baseline2),72,124,324,0,0,1,1,457346,458848,461080,2232
p11,C(Baseline2),73,243,143,0,0,1,1,461842,463345,465686,2341
p11,C(Baseline2),74,424,414,0,1,0,1,466376,467878,471204,3326
p11,C(Baseline2),75,214,134,0,0,0,1,472101,473605,476405,2800
p11,C(Baseline2),76,341,421,0,0,0,1,477126,478630,480968,2338
p11,C(Baseline2),77,213,134,0,0,0,0,481953,483456,485419,1963
p11,C(Baseline2),78,313,434,0,0,0,0,486112,487617,489856,2239
p11,C(Baseline2),79,323,424,0,0,1,0,490644,492148,494579,2431
p11,C(Baseline2),80,431,431,1,1,1,1,495939,497442,499833,2391
p11,C(Baseline2),81,342,421,0,0,0,0,531049,532559,534895,2336
p11,C(Baseline2),82,321,423,0,0,1,0,536128,537636,541027,3391
p11,C(Baseline2),83,243,143,0,0,1,1,541945,543448,545961,2513
p11,C(Baseline2),84,232,131,0,0,1,0,546839,548342,550666,2324
p11,C(Baseline2),85,242,141,0,0,1,0,551330,552833,555420,2587
p11,C(Baseline2),86,132,341,0,0,0,0,556120,557623,560242,2619
p11,C(Baseline2),87,123,124,0,1,1,0,561051,562554,564736,2182
p11,C(Baseline2),88,343,424,0,0,0,0,565443,566946,570509,3563
p11,C(Baseline2),89,423,413,0,1,0,1,571239,572743,574679,1936
p11,C(Baseline2),90,123,124,0,1,1,0,575322,576825,578526,1701
p11,C(Baseline2),91,142,142,1,1,1,1,579331,580834,583380,2546
p11,C(Baseline2),92,313,414,0,0,1,0,584203,585707,589891,4184
p11,C(Baseline2),93,141,323,0,0,0,0,590644,592147,594808,2661
p11,C(Baseline2),94,142,341,0,0,1,0,595507,597010,599055,2045
p11,C(Baseline2),95,124,124,1,1,1,1,599745,601247,602911,1664
p11,C(Baseline2),96,432,431,0,1,1,0,603563,605067,606970,1903
p11,C(Baseline2),97,413,434,0,1,0,0,607687,609191,611208,2017
p11,C(Baseline2),98,131,343,0,0,0,0,611949,613452,615487,2035
p11,C(Baseline2),99,323,414,0,0,0,0,616404,617907,620455,2548
p11,C(Baseline2),100,423,424,0,1,1,0,621456,622960,625198,2238
p11,C(Baseline2),101,343,323,0,1,0,1,656924,658433,662613,4180
p11,C(Baseline2),102,421,213,0,0,0,0,663537,665040,668215,3175
p11,C(Baseline2),103,212,132,0,0,0,1,669278,670781,673521,2740
p11,C(Baseline2),104,231,243,0,1,0,0,674294,675797,678955,3158
p11,C(Baseline2),105,414,234,0,0,0,1,679705,681207,683781,2574
p11,C(Baseline2),106,134,134,1,1,1,1,684623,686126,688026,1900
p11,C(Baseline2),107,413,213,0,0,1,1,688843,690346,692888,2542
p11,C(Baseline2),108,314,434,0,0,0,1,693768,695271,699911,4640
