id,cond,trial#,realPattern,userAnswer,correct,c1,c2,c3,playstamp,playendstamp,enterstamp,reactionTime
p12,A(Baseline1),1,413,414,0,1,1,0,2457,3960,6343,2383
p12,A(Baseline1),2,412,412,1,1,1,1,7218,8721,10819,2098
p12,A(Baseline1),3,132,142,0,1,0,1,11587,13090,16473,3383
p12,A(Baseline1),4,414,414,1,1,1,1,17205,18709,21281,2572
p12,A(Baseline1),5,431,431,1,1,1,1,22047,23550,26125,2575
p12,A(Baseline1),6,432,431,0,1,1,0,26879,28382,30870,2488
p12,A(Baseline1),7,123,124,0,1,1,0,31693,33196,36105,2909
p12,A(Baseline1),8,342,414,0,0,0,0,36804,38307,40873,2566
p12,A(Baseline1),9,131,141,0,1,0,1,41803,43306,45856,2550
p12,A(Baseline1),10,412,412,1,1,1,1,46548,48052,50530,2478
p12,A(Baseline1),11,234,214,0,1,0,1,51393,52896,54762,1866
p12,A(Baseline1),12,212,234,0,1,0,0,55555,57058,59805,2747
p12,A(Baseline1),13,341,412,0,0,0,0,61400,62903,65488,2585
p12,A(Baseline1),14,132,132,1,1,1,1,66380,67883,71040,3157
p12,A(Baseline1),15,124,123,0,1,1,0,71754,73258,76553,3295
p12,A(Baseline1),16,232,231,0,1,1,0,77314,78818,81718,2900
p12,A(Baseline1),17,324,323,0,1,1,0,82461,83964,87009,3045
p12,A(Baseline1),18,121,323,0,0,1,0,87852,89355,91892,2537
p12,A(Baseline1),19,123,323,0,0,1,1,92710,94212,96942,2730
p12,A(Baseline1),20,231,232,0,1,1,0,97771,99275,101830,2555
p12,A(Baseline1),21,134,142,0,1,0,0,132636,134142,137060,2918
p12,A(Baseline1),22,421,421,1,1,1,1,137880,139385,142558,3173
p12,A(Baseline1),23,313,414,0,0,1,0,143361,144864,147110,2246
p12,A(Baseline1),24,242,242,1,1,1,1,147880,149384,151794,2410
p12,A(Baseline1),25,123,124,0,1,1,0,152939,154443,156604,2161
p12,A(Baseline1),26,132,232,0,0,1,1,157343,158846,161603,2757
p12,A(Baseline1),27,314,424,0,0,0,1,162354,163858,166143,2285
p12,A(Baseline1),28,121,242,0,0,0,0,166933,168436,170495,2059
p12,A(Baseline1),29,141,242,0,0,1,0,171313,172817,174722,1905
p12,A(Baseline1),30,313,424,0,0,0,0,175582,177086,179093,2007
p12,A(Baseline1),31,343,424,0,0,0,0,179854,181357,183796,2439
p12,A(Baseline1),32,343,424,0,0,0,0,184526,186029,188030,2001
p12,A(Baseline1),33,241,243,0,1,1,0,188850,190353,192112,1759
p12,A(Baseline1),34,341,423,0,0,0,0,192874,194377,196630,2253
p12,A(Baseline1),35,241,243,0,1,1,0,197495,198998,201892,2894
p12,A(Baseline1),36,243,243,1,1,1,1,202681,204185,206812,2627
p12,A(Baseline1),37,141,241,0,0,1,1,207596,209100,211286,2186
p12,A(Baseline1),38,213,214,0,1,1,0,212077,213581,216090,2509
