id,cond,trial#,realPattern,userAnswer,correct,c1,c2,playstamp,playendstamp,enterstamp,reactionTime
p12,C(Baseline2),1,23,24,0,1,0,2022,3024,3830,806
p12,C(Baseline2),2,13,12,0,1,0,4447,5448,6258,810
p12,C(Baseline2),3,21,23,0,1,0,6864,7867,9550,1683
p12,C(Baseline2),4,23,24,0,1,0,10207,11209,11826,617
p12,C(Baseline2),5,43,43,1,1,1,12468,13470,14061,591
p12,C(Baseline2),6,32,42,0,0,1,14670,15671,16483,812
p12,C(Baseline2),7,14,12,0,1,0,17084,18086,19655,1569
p12,C(Baseline2),8,13,34,0,0,0,20401,21403,22704,1301
p12,C(Baseline2),9,21,23,0,1,0,23667,24668,25956,1288
p12,C(Baseline2),10,42,42,1,1,1,26636,27638,28597,959
p12,C(Baseline2),11,31,31,1,1,1,29225,30226,31487,1261
p12,C(Baseline2),12,31,31,1,1,1,32157,33160,34528,1368
p12,C(Baseline2),13,41,43,0,1,0,35162,36164,36911,747
p12,C(Baseline2),14,41,43,0,1,0,37531,38533,39538,1005
p12,C(Baseline2),15,43,43,1,1,1,40174,41177,42413,1236
p12,C(Baseline2),16,14,14,1,1,1,43081,44084,45388,1304
p12,C(Baseline2),17,12,12,1,1,1,46039,47041,48004,963
p12,C(Baseline2),18,21,21,1,1,1,48755,49757,51384,1627
p12,C(Baseline2),19,31,41,0,0,1,52016,53018,54128,1110
p12,C(Baseline2),20,32,42,0,0,1,54858,55860,56772,912
p12,C(Baseline2),21,34,42,0,0,0,87696,88701,89819,1118
p12,C(Baseline2),22,32,42,0,0,1,90469,91473,92726,1253
p12,C(Baseline2),23,23,23,1,1,1,93328,94330,94979,649
p12,C(Baseline2),24,24,24,1,1,1,95624,96627,98757,2130
p12,C(Baseline2),25,24,24,1,1,1,99385,100387,101288,901
p12,C(Baseline2),26,21,23,0,1,0,101893,102896,103630,734
p12,C(Baseline2),27,13,34,0,0,0,104222,105224,106335,1111
p12,C(Baseline2),28,24,24,1,1,1,106941,107942,108905,963
p12,C(Baseline2),29,31,41,0,0,1,109520,110522,111300,778
p12,C(Baseline2),30,32,42,0,0,1,111924,112926,113936,1010
p12,C(Baseline2),31,42,41,0,1,0,114589,115591,116298,707
p12,C(Baseline2),32,43,43,1,1,1,116935,117937,118569,632
p12,C(Baseline2),33,24,24,1,1,1,119178,120181,121077,896
p12,C(Baseline2),34,24,12,0,0,0,121716,122718,123342,624
p12,C(Baseline2),35,42,42,1,1,1,124020,125021,126385,1364
p12,C(Baseline2),36,23,23,1,1,1,127005,128007,128843,836
p12,C(Baseline2),37,12,12,1,1,1,129493,130495,131118,623
p12,C(Baseline2),38,14,12,0,1,0,131782,132784,133652,868
p12,C(Baseline2),39,42,42,1,1,1,134260,135262,136594,1332
p12,C(Baseline2),40,14,12,0,1,0,137891,138893,139815,922
p12,C(Baseline2),41,34,42,0,0,0,171231,172236,173284,1048
p12,C(Baseline2),42,23,24,0,1,0,174006,175012,175537,525
p12,C(Baseline2),43,12,12,1,1,1,176178,177180,177947,767
p12,C(Baseline2),44,13,12,0,1,0,178556,179558,180783,1225
p12,C(Baseline2),45,12,12,1,1,1,181401,182403,183153,750
p12,C(Baseline2),46,32,42,0,0,1,183766,184767,185195,428
p12,C(Baseline2),47,21,21,1,1,1,185907,186909,187792,883
p12,C(Baseline2),48,13,34,0,0,0,188387,189389,192841,3452
p12,C(Baseline2),49,31,42,0,0,0,193904,194905,195807,902
p12,C(Baseline2),50,43,43,1,1,1,196429,197431,199428,1997
p12,C(Baseline2),51,41,41,1,1,1,200063,201065,202345,1280
p12,C(Baseline2),52,12,12,1,1,1,202959,203961,204690,729
p12,C(Baseline2),53,34,42,0,0,0,205350,206352,206982,630
p12,C(Baseline2),54,43,43,1,1,1,207586,208587,210458,1871
p12,C(Baseline2),55,34,42,0,0,0,211149,212151,212806,655
p12,C(Baseline2),56,14,12,0,1,0,213421,214423,215106,683
p12,C(Baseline2),57,41,41,1,1,1,215707,216709,217369,660
p12,C(Baseline2),58,41,43,0,1,0,217990,218992,219551,559
p12,C(Baseline2),59,42,42,1,1,1,220139,221141,221723,582
p12,C(Baseline2),60,34,42,0,0,0,222377,223379,224098,719
