id,cond,trial#,realPattern,userAnswer,correct,c1,c2,playstamp,playendstamp,enterstamp,reactionTime
p3,B(Approach),1,34,34,1,1,1,5529,6531,8806,2275
p3,B(Approach),2,12,12,1,1,1,9538,10547,12184,1637
p3,B(Approach),3,42,41,0,1,0,12963,13969,15828,1859
p3,B(Approach),4,42,41,0,1,0,16511,17513,19246,1733
p3,B(Approach),5,23,13,0,0,1,19909,20910,22872,1962
p3,B(Approach),6,41,41,1,1,1,23546,24549,25959,1410
p3,B(Approach),7,12,12,1,1,1,26640,27642,29205,1563
p3,B(Approach),8,43,43,1,1,1,29939,30940,32389,1449
p3,B(Approach),9,43,23,0,0,1,33079,34081,36103,2022
p3,B(Approach),10,42,42,1,1,1,36840,37842,40052,2210
p3,B(Approach),11,34,34,1,1,1,40710,41712,43296,1584
p3,B(Approach),12,24,24,1,1,1,43984,44986,47548,2562
p3,B(Approach),13,32,32,1,1,1,48211,49213,50770,1557
p3,B(Approach),14,12,12,1,1,1,51464,52467,54047,1580
p3,B(Approach),15,13,14,0,1,0,54722,55725,57267,1542
p3,B(Approach),16,12,12,1,1,1,57953,58954,60709,1755
p3,B(Approach),17,24,24,1,1,1,61327,62329,63694,1365
p3,B(Approach),18,13,13,1,1,1,64400,65402,68432,3030
p3,B(Approach),19,41,41,1,1,1,69184,70186,72366,2180
p3,B(Approach),20,41,41,1,1,1,73149,74151,76622,2471
p3,B(Approach),21,41,31,0,0,1,107921,108927,111232,2305
p3,B(Approach),22,23,23,1,1,1,111949,112952,114534,1582
p3,B(Approach),23,41,41,1,1,1,115243,116246,118119,1873
p3,B(Approach),24,32,42,0,0,1,118756,119758,121326,1568
p3,B(Approach),25,14,14,1,1,1,122126,123137,125544,2407
p3,B(Approach),26,12,12,1,1,1,126266,127268,129424,2156
p3,B(Approach),27,43,43,1,1,1,130066,131067,133020,1953
p3,B(Approach),28,31,31,1,1,1,133676,134678,136703,2025
p3,B(Approach),29,14,34,0,0,1,137379,138380,140191,1811
p3,B(Approach),30,23,13,0,0,1,140870,141872,145410,3538
p3,B(Approach),31,34,34,1,1,1,146246,147249,149807,2558
p3,B(Approach),32,21,13,0,0,0,150509,151510,153711,2201
p3,B(Approach),33,31,31,1,1,1,154401,155403,156942,1539
p3,B(Approach),34,14,34,0,0,1,157620,158622,161619,2997
p3,B(Approach),35,31,31,1,1,1,162337,163338,166095,2757
p3,B(Approach),36,24,14,0,0,1,166881,167884,169645,1761
p3,B(Approach),37,14,34,0,0,1,170330,171331,173924,2593
p3,B(Approach),38,14,34,0,0,1,174648,175651,177448,1797
p3,B(Approach),39,24,24,1,1,1,178149,179152,181723,2571
p3,B(Approach),40,23,13,0,0,1,182403,183405,184848,1443
p3,B(Approach),41,13,34,0,0,0,215746,216752,218355,1603
p3,B(Approach),42,21,21,1,1,1,219133,220136,221907,1771
p3,B(Approach),43,31,31,1,1,1,222612,223613,225229,1616
p3,B(Approach),44,23,23,1,1,1,225975,226977,229015,2038
p3,B(Approach),45,42,42,1,1,1,229712,230714,232335,1621
p3,B(Approach),46,43,43,1,1,1,233033,234034,236418,2384
p3,B(Approach),47,21,21,1,1,1,237066,238068,239812,1744
p3,B(Approach),48,31,31,1,1,1,240455,241457,242893,1436
p3,B(Approach),49,21,21,1,1,1,243589,244591,246141,1550
p3,B(Approach),50,32,31,0,1,0,246818,247820,249176,1356
p3,B(Approach),51,32,31,0,1,0,249876,250879,252120,1241
p3,B(Approach),52,13,13,1,1,1,252779,253781,254960,1179
p3,B(Approach),53,43,43,1,1,1,255603,256605,259330,2725
p3,B(Approach),54,21,21,1,1,1,260078,261080,262477,1397
p3,B(Approach),55,13,34,0,0,0,263164,264166,265864,1698
p3,B(Approach),56,34,42,0,0,0,266539,267540,272050,4510
p3,B(Approach),57,32,31,0,1,0,272842,273844,275176,1332
p3,B(Approach),58,24,13,0,0,0,275860,276862,280009,3147
p3,B(Approach),59,42,21,0,0,0,280710,281712,283575,1863
p3,B(Approach),60,34,34,1,1,1,284260,285261,287233,1972
