id,cond,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
p11,Baseline2,1,321,321,1,3417,4925,8385
p11,Baseline2,2,323,321,0,9224,10728,15688
p11,Baseline2,3,132,132,1,16904,18411,21600
p11,Baseline2,4,424,424,1,22705,24207,33072
p11,Baseline2,5,234,234,1,33897,35401,41792
p11,Baseline2,6,421,423,0,42617,44120,45984
p11,Baseline2,7,312,312,1,46849,48353,51080
p11,Baseline2,8,412,414,0,54592,56096,64185
p11,Baseline2,9,341,141,0,65681,67184,70224
p11,Baseline2,10,132,142,0,71281,72787,90016
p11,Baseline2,11,314,314,1,90929,92436,95272
p11,Baseline2,12,231,231,1,95993,97496,100744
p11,Baseline2,13,214,214,1,101449,102953,113704
p11,Baseline2,14,123,143,0,115929,117434,119864
p11,Baseline2,15,313,314,0,120608,122115,139416
p11,Baseline2,16,413,413,1,140328,141838,146032
p11,Baseline2,17,121,142,0,146833,148337,161888
p11,Baseline2,18,412,412,1,172345,173857,177096
p11,Baseline2,19,312,314,0,178040,179544,187856
p11,Baseline2,20,243,234,0,189193,190696,198536
p11,Baseline2,21,214,214,1,229992,231500,233945
p11,Baseline2,22,432,412,0,234817,236320,245944
p11,Baseline2,23,341,241,0,246922,248425,261888
p11,Baseline2,24,242,242,1,262928,264434,267336
p11,Baseline2,25,434,434,1,268161,269667,271681
p11,Baseline2,26,342,143,0,272569,274072,282056
p11,Baseline2,27,213,213,1,283329,284835,289921
p11,Baseline2,28,324,323,0,290913,292416,297720
p11,Baseline2,29,243,241,0,299993,301501,304801
p11,Baseline2,30,241,241,1,305633,307136,311049
p11,Baseline2,31,124,143,0,313097,314601,332041
p11,Baseline2,32,214,214,1,332905,334411,348456
p11,Baseline2,33,413,413,1,349776,351283,361881
p11,Baseline2,34,314,314,1,367145,368651,372760
p11,Baseline2,35,314,142,0,373697,375201,387856
p11,Baseline2,36,213,213,1,388801,390306,392488
p11,Baseline2,37,141,141,1,403201,404708,408848
p11,Baseline2,38,423,423,1,410129,411634,415920
p11,Baseline2,39,232,231,0,416728,418232,425192
p11,Baseline2,40,424,424,1,426065,427569,431928
p11,Baseline2,41,414,414,1,462880,464388,466408
p11,Baseline2,42,132,132,1,467273,468776,472072
p11,Baseline2,43,143,241,0,473745,475248,485609
p11,Baseline2,44,324,324,1,492192,493697,496696
p11,Baseline2,45,343,141,0,502968,504472,507136
p11,Baseline2,46,234,234,1,507936,509440,512944
p11,Baseline2,47,431,431,1,513689,515193,526184
p11,Baseline2,48,342,142,0,527857,529361,537064
p11,Baseline2,49,231,231,1,538073,539577,550896
p11,Baseline2,50,312,132,0,551880,553384,562552
p11,Baseline2,51,431,432,0,563464,564971,567857
p11,Baseline2,52,234,431,0,568792,570297,585520
p11,Baseline2,53,142,142,1,586345,587851,591016
p11,Baseline2,54,131,131,1,592081,593587,595408
p11,Baseline2,55,413,413,1,596377,597880,602112
p11,Baseline2,56,342,142,0,602880,604384,617632
p11,Baseline2,57,313,313,1,618673,620179,624200
p11,Baseline2,58,123,241,0,625152,626660,645264
p11,Baseline2,59,432,432,1,646144,647654,650752
p11,Baseline2,60,123,143,0,653032,654536,665065
p11,Baseline2,61,232,232,1,702256,703765,706864
p11,Baseline2,62,134,132,0,707784,709287,711352
p11,Baseline2,63,423,423,1,712168,713672,716528
