id,cond,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
p12,Approach,1,432,432,1,19175,20684,23654
p12,Approach,2,434,434,1,26263,27766,31022
p12,Approach,3,424,424,1,31951,33454,35718
p12,Approach,4,314,324,0,36567,38071,41767
p12,Approach,5,323,343,0,42592,44095,46934
p12,Approach,6,241,241,1,47720,49223,51847
p12,Approach,7,314,324,0,52671,54174,56703
p12,Approach,8,432,432,1,57511,59015,61950
p12,Approach,9,321,343,0,62703,64207,67023
p12,Approach,10,241,241,1,67807,69319,72870
p12,Approach,11,131,131,1,73671,75176,78103
p12,Approach,12,421,421,1,78871,80375,83582
p12,Approach,13,132,134,0,84855,86359,89535
p12,Approach,14,323,323,1,90527,92030,95039
p12,Approach,15,413,413,1,97247,98750,101574
p12,Approach,16,232,234,0,102743,104246,107614
p12,Approach,17,214,214,1,109951,111455,115471
p12,Approach,18,343,343,1,116415,117919,120598
p12,Approach,19,231,232,0,121751,123254,126662
p12,Approach,20,234,234,1,129023,130526,132918
p12,Approach,21,423,213,0,164471,165979,173254
p12,Approach,22,142,142,1,174111,175615,178246
p12,Approach,23,313,313,1,179039,180542,182871
p12,Approach,24,414,414,1,183664,185167,187438
p12,Approach,25,242,242,1,188190,189694,192606
p12,Approach,26,341,341,1,193455,194958,198511
p12,Approach,27,412,414,0,199263,200766,203486
p12,Approach,28,143,143,1,204328,205835,208263
p12,Approach,29,232,232,1,209135,210640,213430
p12,Approach,30,313,313,1,214199,215703,218102
p12,Approach,31,142,142,1,218871,220374,223222
p12,Approach,32,341,341,1,224351,225854,228166
p12,Approach,33,141,141,1,229015,230519,232710
p12,Approach,34,142,142,1,233495,234998,237543
p12,Approach,35,242,242,1,238416,239919,242439
p12,Approach,36,342,142,0,243232,244735,246742
p12,Approach,37,312,314,0,247511,249014,250919
p12,Approach,38,214,214,1,251711,253215,255247
p12,Approach,39,321,321,1,256039,257542,260902
p12,Approach,40,243,241,0,261759,263262,265406
p12,Approach,41,121,123,0,296775,298282,301488
p12,Approach,42,243,243,1,302296,303800,306030
p12,Approach,43,423,423,1,306935,308441,310799
p12,Approach,44,342,342,1,311615,313118,316270
p12,Approach,45,123,123,1,317079,318582,320983
p12,Approach,46,324,124,0,321671,323175,329239
p12,Approach,47,343,343,1,330007,331510,334126
p12,Approach,48,313,313,1,334960,336463,338854
p12,Approach,49,212,214,0,339544,341048,343886
p12,Approach,50,413,413,1,344719,346223,349055
p12,Approach,51,434,434,1,349807,351311,353494
p12,Approach,52,312,314,0,354455,355959,357942
p12,Approach,53,242,242,1,358783,360287,362159
p12,Approach,54,423,423,1,362984,364488,366551
p12,Approach,55,134,134,1,367247,368751,371799
p12,Approach,56,323,343,0,372455,373959,375911
p12,Approach,57,231,231,1,376615,378118,382366
p12,Approach,58,342,342,1,383079,384583,386839
p12,Approach,59,212,212,1,387752,389255,391863
p12,Approach,60,141,141,1,392583,394087,396046
p12,Approach,61,141,141,1,426920,428426,432695
p12,Approach,62,324,324,1,433614,435118,437150
p12,Approach,63,213,213,1,437903,439407,441718
p12,Approach,64,341,343,0,442518,444022,446487
p12,Approach,65,231,431,0,447271,448774,451207
p12,Approach,66,213,213,1,451943,453447,455383
p12,Approach,67,234,434,0,456096,457599,460039
p12,Approach,68,321,321,1,460807,462311,464702
p12,Approach,69,412,434,0,465511,467014,470030
p12,Approach,70,213,213,1,470879,472383,475183
p12,Approach,71,143,143,1,475975,477478,481023
p12,Approach,72,431,431,1,481767,483270,485750
p12,Approach,73,123,123,1,486543,488047,490447
p12,Approach,74,132,134,0,491303,492806,494919
p12,Approach,75,312,312,1,495719,497222,499279
p12,Approach,76,234,134,0,500016,501519,505678
p12,Approach,77,431,431,1,506431,507935,509847
p12,Approach,78,421,421,1,510583,512086,514094
p12,Approach,79,414,414,1,514815,516319,518711
p12,Approach,80,343,343,1,519503,521007,524199
p12,Approach,81,124,124,1,564150,565657,567575
p12,Approach,82,421,421,1,568687,570192,572358
p12,Approach,83,432,434,0,573567,575070,577726
p12,Approach,84,424,424,1,578734,580239,582599
p12,Approach,85,134,134,1,583503,585006,587087
p12,Approach,86,412,434,0,587791,589294,591614
p12,Approach,87,424,424,1,592367,593870,595702
p12,Approach,88,131,131,1,596551,598055,599846
p12,Approach,89,243,243,1,600568,602070,604670
p12,Approach,90,414,414,1,605879,607382,609711
p12,Approach,91,214,214,1,610527,612030,614334
p12,Approach,92,232,234,0,615231,616734,619182
p12,Approach,93,123,123,1,620023,621526,625311
p12,Approach,94,324,324,1,626231,627734,630358
p12,Approach,95,314,314,1,631279,632783,635191
p12,Approach,96,431,431,1,636063,637568,640158
p12,Approach,97,121,123,0,641470,642973,648902
p12,Approach,98,212,212,1,649734,651238,653406
p12,Approach,99,143,121,0,654191,655695,658319
p12,Approach,100,434,434,1,659047,660550,663126
p12,Approach,101,132,132,1,700446,701952,704215
p12,Approach,102,124,124,1,704927,706433,708566
p12,Approach,103,121,121,1,709335,710838,712943
p12,Approach,104,134,134,1,713678,715182,717606
p12,Approach,105,241,241,1,718503,720007,723158
p12,Approach,106,131,131,1,724135,725639,727710
p12,Approach,107,124,124,1,728511,730015,733598
p12,Approach,108,413,413,1,734639,736143,739654
