id,cond,trial#,realPattern,userAnswer,correct,c1,c2,c3,playstamp,playendstamp,enterstamp,reactionTime
p2,A(Baseline1),1,423,424,0,1,1,0,2266,3769,5939,2170
p2,A(Baseline1),2,141,142,0,1,1,0,6651,8154,10426,2272
p2,A(Baseline1),3,323,423,0,0,1,1,11220,12723,15570,2847
p2,A(Baseline1),4,141,142,0,1,1,0,16411,17915,25755,7840
p2,A(Baseline1),5,243,243,1,1,1,1,26451,27954,30843,2889
p2,A(Baseline1),6,121,323,0,0,1,0,31611,33115,35226,2111
p2,A(Baseline1),7,131,243,0,0,0,0,35995,37498,40162,2664
p2,A(Baseline1),8,434,434,1,1,1,1,40867,42371,44642,2271
p2,A(Baseline1),9,314,414,0,0,1,1,45826,47329,50362,3033
p2,A(Baseline1),10,324,424,0,0,1,1,51116,52619,54555,1936
p2,A(Baseline1),11,341,421,0,0,0,1,55259,56762,58923,2161
p2,A(Baseline1),12,314,412,0,0,1,0,59939,61442,64059,2617
p2,A(Baseline1),13,431,431,1,1,1,1,64803,66307,69306,2999
p2,A(Baseline1),14,313,414,0,0,1,0,70011,71514,80602,9088
p2,A(Baseline1),15,343,343,1,1,1,1,81314,82817,85466,2649
p2,A(Baseline1),16,321,421,0,0,1,1,86243,87746,91026,3280
p2,A(Baseline1),17,323,424,0,0,1,0,91747,93250,96267,3017
p2,A(Baseline1),18,241,241,1,1,1,1,96955,98458,102410,3952
p2,A(Baseline1),19,424,424,1,1,1,1,103547,105051,107322,2271
p2,A(Baseline1),20,131,141,0,1,0,1,108283,109787,114490,4703
p2,A(Baseline1),21,431,431,1,1,1,1,147355,148870,151610,2740
p2,A(Baseline1),22,314,434,0,0,0,1,152571,154075,156562,2487
p2,A(Baseline1),23,412,312,0,0,1,1,157323,158827,163498,4671
p2,A(Baseline1),24,214,214,1,1,1,1,164387,165890,168402,2512
p2,A(Baseline1),25,123,323,0,0,1,1,169194,170698,172731,2033
p2,A(Baseline1),26,134,134,1,1,1,1,173490,174994,177258,2264
p2,A(Baseline1),27,312,412,0,0,1,1,177980,179483,182058,2575
p2,A(Baseline1),28,232,231,0,1,1,0,182739,184243,186210,1967
p2,A(Baseline1),29,412,412,1,1,1,1,186947,188450,191250,2800
p2,A(Baseline1),30,412,412,1,1,1,1,191979,193482,196194,2712
p2,A(Baseline1),31,231,231,1,1,1,1,197340,198842,200483,1641
p2,A(Baseline1),32,142,142,1,1,1,1,201187,202690,204858,2168
p2,A(Baseline1),33,132,342,0,0,0,1,205987,207490,213123,5633
p2,A(Baseline1),34,421,423,0,1,1,0,213907,215410,218371,2961
p2,A(Baseline1),35,342,342,1,1,1,1,219123,220626,223642,3016
p2,A(Baseline1),36,214,214,1,1,1,1,224403,225906,228138,2232
p2,A(Baseline1),37,143,343,0,0,1,1,228891,230395,233083,2688
p2,A(Baseline1),38,212,232,0,1,0,1,233763,235267,236994,1727
p2,A(Baseline1),39,432,431,0,1,1,0,238259,239762,241866,2104
p2,A(Baseline1),40,434,343,0,0,0,0,242724,244227,246834,2607
p2,A(Baseline1),41,124,324,0,0,1,1,277770,279278,283226,3948
