id,cond,trial#,realPattern,userAnswer,correct,c1,c2,c3,playstamp,playendstamp,enterstamp,reactionTime
p4,C(Baseline2),1,421,413,0,1,0,0,37213,38726,43052,4326
p4,C(Baseline2),2,212,131,0,0,0,0,44717,46222,50349,4127
p4,C(Baseline2),3,234,134,0,0,1,1,51693,53197,56820,3623
p4,C(Baseline2),4,432,431,0,1,1,0,57982,59485,63108,3623
p4,C(Baseline2),5,123,313,0,0,0,1,64126,65629,75637,10008
p4,C(Baseline2),6,412,412,1,1,1,1,76877,78381,82133,3752
p4,C(Baseline2),7,243,143,0,0,1,1,83293,84796,89212,4416
p4,C(Baseline2),8,231,131,0,0,1,1,90085,91588,93956,2368
p4,C(Baseline2),9,141,143,0,1,1,0,95293,96796,100124,3328
p4,C(Baseline2),10,232,131,0,0,1,0,101102,102605,104676,2071
p4,C(Baseline2),11,324,414,0,0,0,1,105533,107036,110365,3329
p4,C(Baseline2),12,241,241,1,1,1,1,111341,112844,115852,3008
p4,C(Baseline2),13,313,313,1,1,1,1,116846,118350,121221,2871
p4,C(Baseline2),14,134,132,0,1,1,0,122293,123797,126093,2296
p4,C(Baseline2),15,341,321,0,1,0,1,127429,128932,131836,2904
p4,C(Baseline2),16,313,313,1,1,1,1,132813,134316,136716,2400
p4,C(Baseline2),17,132,131,0,1,1,0,141109,142612,145812,3200
p4,C(Baseline2),18,432,241,0,0,0,0,146813,148317,151748,3431
p4,C(Baseline2),19,312,312,1,1,1,1,153086,154590,157540,2950
p4,C(Baseline2),20,323,424,0,0,1,0,158541,160044,165428,5384
p4,C(Baseline2),21,132,132,1,1,1,1,196965,198473,201885,3412
p4,C(Baseline2),22,121,123,0,1,1,0,202750,204255,206604,2349
p4,C(Baseline2),23,343,324,0,1,0,0,207581,209084,212036,2952
p4,C(Baseline2),24,123,123,1,1,1,1,213069,214573,216620,2047
p4,C(Baseline2),25,321,423,0,0,1,0,217501,219004,221444,2440
p4,C(Baseline2),26,141,143,0,1,1,0,222326,223829,226445,2616
p4,C(Baseline2),27,231,131,0,0,1,1,227798,229301,231740,2439
p4,C(Baseline2),28,141,141,1,1,1,1,232615,234117,237005,2888
p4,C(Baseline2),29,243,143,0,0,1,1,237877,239380,242117,2737
p4,C(Baseline2),30,213,131,0,0,0,0,243062,244565,246949,2384
p4,C(Baseline2),31,414,212,0,0,1,0,247781,249284,255604,6320
p4,C(Baseline2),32,314,314,1,1,1,1,256581,258084,262780,4696
p4,C(Baseline2),33,124,124,1,1,1,1,263733,265237,268941,3704
p4,C(Baseline2),34,421,413,0,1,0,0,269893,271396,274173,2777
p4,C(Baseline2),35,312,312,1,1,1,1,278445,279949,284164,4215
p4,C(Baseline2),36,414,414,1,1,1,1,285037,286541,289828,3287
p4,C(Baseline2),37,343,424,0,0,0,0,290886,292388,295989,3601
p4,C(Baseline2),38,413,413,1,1,1,1,297021,298524,301220,2696
p4,C(Baseline2),39,412,413,0,1,1,0,304509,306012,309500,3488
p4,C(Baseline2),40,323,313,0,1,0,1,310405,311908,314061,2153
p4,C(Baseline2),41,424,414,0,1,0,1,345381,346889,350877,3988
p4,C(Baseline2),42,134,134,1,1,1,1,351845,353349,355660,2311
p4,C(Baseline2),43,342,321,0,1,0,0,356573,358078,360365,2287
p4,C(Baseline2),44,123,123,1,1,1,1,361326,362830,366421,3591
p4,C(Baseline2),45,321,313,0,1,0,0,367278,368782,372188,3406
p4,C(Baseline2),46,423,213,0,0,0,1,373149,374653,378005,3352
p4,C(Baseline2),47,142,121,0,1,0,0,378893,380396,383341,2945
p4,C(Baseline2),48,431,231,0,0,1,1,384213,385717,389373,3656
p4,C(Baseline2),49,341,321,0,1,0,1,390309,391812,394204,2392
p4,C(Baseline2),50,134,132,0,1,1,0,395173,396677,400644,3967
p4,C(Baseline2),51,312,312,1,1,1,1,401478,402981,406277,3296
p4,C(Baseline2),52,241,241,1,1,1,1,407157,408660,411364,2704
p4,C(Baseline2),53,124,314,0,0,0,1,412237,413740,416077,2337
p4,C(Baseline2),54,341,341,1,1,1,1,417029,418532,421660,3128
p4,C(Baseline2),55,423,413,0,1,0,1,423189,424696,427221,2525
p4,C(Baseline2),56,212,131,0,0,0,0,428165,429669,433365,3696
p4,C(Baseline2),57,214,134,0,0,0,1,434205,435708,438685,2977
p4,C(Baseline2),58,412,431,0,1,0,0,439669,441173,444868,3695
p4,C(Baseline2),59,242,141,0,0,1,0,448270,449773,453365,3592
p4,C(Baseline2),60,343,343,1,1,1,1,454326,455831,459245,3414
p4,C(Baseline2),61,212,131,0,0,0,0,493517,495026,498797,3771
p4,C(Baseline2),62,143,143,1,1,1,1,499598,501104,503540,2436
p4,C(Baseline2),63,242,141,0,0,1,0,504406,505909,508412,2503
p4,C(Baseline2),64,214,132,0,0,0,0,509445,510947,513205,2258
p4,C(Baseline2),65,434,434,1,1,1,1,514661,516164,518461,2297
p4,C(Baseline2),66,321,313,0,1,0,0,519333,520836,523837,3001
p4,C(Baseline2),67,131,131,1,1,1,1,524862,526367,529220,2853
p4,C(Baseline2),68,143,143,1,1,1,1,530101,531604,534212,2608
p4,C(Baseline2),69,314,314,1,1,1,1,535102,536605,539564,2959
p4,C(Baseline2),70,434,434,1,1,1,1,540477,541981,544676,2695
p4,C(Baseline2),71,342,141,0,0,1,0,545693,547197,550460,3263
p4,C(Baseline2),72,324,314,0,1,0,1,551317,552821,555484,2663
p4,C(Baseline2),73,243,143,0,0,1,1,556286,557790,560517,2727
p4,C(Baseline2),74,231,131,0,0,1,1,561397,562900,565308,2408
p4,C(Baseline2),75,234,132,0,0,1,0,566246,567748,569965,2217
p4,C(Baseline2),76,242,141,0,0,1,0,570822,572325,574524,2199
p4,C(Baseline2),77,434,131,0,0,1,0,575629,577132,580444,3312
p4,C(Baseline2),78,424,313,0,0,0,0,581309,582813,585221,2408
p4,C(Baseline2),79,121,121,1,1,1,1,586038,587541,590412,2871
p4,C(Baseline2),80,232,131,0,0,1,0,591437,592941,595948,3007
p4,C(Baseline2),81,214,132,0,0,0,0,626901,628407,630932,2525
p4,C(Baseline2),82,121,121,1,1,1,1,631990,633499,635444,1945
p4,C(Baseline2),83,213,134,0,0,0,0,636207,637710,640141,2431
p4,C(Baseline2),84,342,321,0,1,0,0,640901,642405,645373,2968
p4,C(Baseline2),85,142,121,0,1,0,0,646325,647829,651013,3184
p4,C(Baseline2),86,413,431,0,1,0,0,651965,653469,655652,2183
p4,C(Baseline2),87,232,143,0,0,0,0,656525,658034,660725,2691
p4,C(Baseline2),88,313,131,0,0,0,0,661620,663127,666558,3431
p4,C(Baseline2),89,424,231,0,0,0,0,667357,668860,674028,5168
p4,C(Baseline2),90,131,131,1,1,1,1,675046,676549,681404,4855
p4,C(Baseline2),91,423,213,0,0,0,1,682613,684117,687996,3879
p4,C(Baseline2),92,431,231,0,0,1,1,689445,690948,693581,2633
p4,C(Baseline2),93,413,413,1,1,1,1,694406,695909,700701,4792
p4,C(Baseline2),94,124,314,0,0,0,1,701716,703220,706924,3704
p4,C(Baseline2),95,414,414,1,1,1,1,709453,710957,715517,4560
p4,C(Baseline2),96,324,313,0,1,0,0,716469,717973,721508,3535
p4,C(Baseline2),97,213,134,0,0,0,0,722669,724172,727014,2842
p4,C(Baseline2),98,431,231,0,0,1,1,727989,729492,737100,7608
p4,C(Baseline2),99,143,143,1,1,1,1,738021,739524,747685,8161
p4,C(Baseline2),100,241,131,0,0,0,1,748669,750180,752596,2416
p4,C(Baseline2),101,132,131,0,1,1,0,783517,785026,786508,1482
p4,C(Baseline2),102,314,312,0,1,1,0,787366,788870,791108,2238
p4,C(Baseline2),103,131,131,1,1,1,1,791853,793357,795636,2279
p4,C(Baseline2),104,323,313,0,1,0,1,796597,798100,801149,3049
p4,C(Baseline2),105,421,413,0,1,0,0,801989,803491,807484,3993
p4,C(Baseline2),106,234,132,0,0,1,0,808797,810300,812500,2200
p4,C(Baseline2),107,432,231,0,0,1,0,813341,814844,816892,2048
p4,C(Baseline2),108,142,143,0,1,1,0,817901,819405,821996,2591
