id,cond,trial#,realPattern,userAnswer,correct,c1,c2,c3,playstamp,playendstamp,enterstamp,reactionTime
p7,B(Approach),1,432,432,1,1,1,1,4534,6044,8357,2313
p7,B(Approach),2,232,232,1,1,1,1,9294,10797,13397,2600
p7,B(Approach),3,214,212,0,1,1,0,14845,16349,19421,3072
p7,B(Approach),4,132,132,1,1,1,1,20134,21637,24957,3320
p7,B(Approach),5,234,232,0,1,1,0,25742,27245,30510,3265
p7,B(Approach),6,123,131,0,1,0,0,31262,32765,36253,3488
p7,B(Approach),7,234,234,1,1,1,1,36942,38445,42109,3664
p7,B(Approach),8,412,412,1,1,1,1,43118,44621,47437,2816
p7,B(Approach),9,243,234,0,1,0,0,48279,49782,54485,4703
p7,B(Approach),10,323,323,1,1,1,1,55621,57126,59861,2735
p7,B(Approach),11,324,313,0,1,0,0,60622,62126,69565,7439
p7,B(Approach),12,432,131,0,0,1,0,70349,71852,74045,2193
p7,B(Approach),13,343,313,0,1,0,1,74829,76332,78733,2401
p7,B(Approach),14,243,234,0,1,0,0,79558,81061,86741,5680
p7,B(Approach),15,232,232,1,1,1,1,87478,88981,91533,2552
p7,B(Approach),16,121,121,1,1,1,1,92230,93733,96844,3111
p7,B(Approach),17,431,431,1,1,1,1,97606,99109,102173,3064
p7,B(Approach),18,234,232,0,1,1,0,102999,104503,107364,2861
p7,B(Approach),19,212,212,1,1,1,1,108175,109677,112597,2920
p7,B(Approach),20,341,342,0,1,1,0,113285,114788,118397,3609
p7,B(Approach),21,131,412,0,0,0,0,150902,152408,163372,10964
p7,B(Approach),22,341,342,0,1,1,0,164101,165605,173804,8199
p7,B(Approach),23,342,342,1,1,1,1,174574,176078,181372,5294
p7,B(Approach),24,231,232,0,1,1,0,182069,183575,188036,4461
p7,B(Approach),25,231,231,1,1,1,1,188893,190397,192373,1976
p7,B(Approach),26,431,431,1,1,1,1,193046,194551,196884,2333
p7,B(Approach),27,312,312,1,1,1,1,197781,199285,202285,3000
p7,B(Approach),28,423,424,0,1,1,0,203142,204646,208709,4063
