trial#,pattern,answer,correct,recentAccuracy,modality,playstamp,playendstamp,enterstamp
1,e(6),5,0,0,ERM 1,351596,0,351601
2,c(5),5,1,0.5,ERM 1,371788,352608,371788
3,d(5),5,1,0.666666666666667,ERM 1,381403,372794,381403
4,e(6),5,0,0.5,ERM 1,386980,382405,386980
5,g(7),5,0,0.4,ERM 1,395332,387981,395332
6,h(0),5,0,0.333333333333333,ERM 1,401380,396333,401380
7,a(3),5,0,0.285714285714286,ERM 1,409428,402384,409428
8,l(3),5,0,0.25,ERM 1,418756,410429,418756
9,f(7),5,0,0.222222222222222,ERM 1,428451,419761,428451
10,l(3),5,0,0.2,ERM 1,436100,429453,436100
11,k(2),5,0,0.181818181818182,ERM 1,444172,437107,444172
12,a(3),5,0,0.166666666666667,ERM 1,456003,445173,456003
13,k(2),5,0,0.153846153846154,ERM 1,465699,457010,465700
14,d(5),5,1,0.214285714285714,ERM 1,474181,466701,474181
15,j(1),5,0,0.2,ERM 1,481483,475187,481483
16,c(5),5,1,0.25,ERM 1,491588,482485,491588
17,d(5),5,1,0.294117647058824,ERM 1,501667,492590,501667
18,d(5),5,1,0.333333333333333,ERM 1,507804,502673,507804
19,a(3),5,0,0.315789473684211,ERM 1,513867,508805,513867
20,b(4),5,0,0.3,ERM 1,525731,514869,525731
21,g(7),5,0,0.285714285714286,ERM 1,532884,526738,532884
22,j(1),5,0,0.272727272727273,ERM 1,539597,533885,539597
23,c(5),5,1,0.304347826086957,ERM 1,548715,540598,548715
24,d(5),5,1,0.333333333333333,ERM 1,557692,549720,557692
25,a(3),5,0,0.333333333333333,ERM 1,564900,558696,564901
26,h(0),5,0,0.291666666666667,ERM 1,576580,565901,576580
27,j(1),5,0,0.25,ERM 1,584348,577585,584348
28,a(3),5,0,0.25,ERM 1,590868,585350,590868
29,e(6),5,0,0.25,ERM 1,600771,591869,600771
30,f(7),5,0,0.25,ERM 1,613196,601779,613196
31,j(1),5,0,0.25,ERM 1,622499,614198,622499
32,f(7),5,0,0.25,ERM 1,629245,623505,629245
33,h(0),5,0,0.25,ERM 1,645548,630247,645548
34,i(1),5,0,0.25,ERM 1,651500,646552,651500
35,e(6),5,0,0.25,ERM 1,662757,652501,662757
36,f(7),5,0,0.25,ERM 1,670708,663764,670708
37,a(3),5,0,0.25,ERM 1,677491,671709,677491
38,h(0),5,0,0.208333333333333,ERM 1,686827,678494,686827
39,d(5),5,1,0.25,ERM 1,695604,687831,695604
40,b(4),5,0,0.208333333333333,ERM 1,766364,696605,766364
41,b(4),5,0,0.166666666666667,ERM 1,774156,767376,774156
42,e(6),5,0,0.125,ERM 1,780836,775157,780836
43,i(1),5,0,0.125,ERM 1,787364,781838,787365
44,k(2),5,0,0.125,ERM 1,795259,788366,795260
45,e(6),5,0,0.125,ERM 1,803884,796261,803884
46,l(3),5,0,0.125,ERM 1,811139,804888,811140
47,f(7),5,0,0.0833333333333333,ERM 1,820900,812142,820900
48,i(1),5,0,0.0416666666666667,ERM 1,829356,821907,829356
49,k(2),5,0,0.0416666666666667,ERM 1,834988,830357,834988
50,k(2),5,0,0.0416666666666667,ERM 1,844124,835990,844124
51,l(3),5,0,0.0416666666666667,ERM 1,850660,845129,850660
52,b(4),5,0,0.0416666666666667,ERM 1,859397,851661,859397
53,j(1),5,0,0.0416666666666667,ERM 1,869733,860398,869733
54,l(3),5,0,0.0416666666666667,ERM 1,880364,870737,880364
55,h(0),5,0,0.0416666666666667,ERM 1,886924,881366,886924
56,d(5),5,1,0.0833333333333333,ERM 1,894011,887927,894011
57,c(5),5,1,0.125,ERM 1,900172,895013,900172
58,i(1),5,0,0.125,ERM 1,907957,901173,907957
59,k(2),5,0,0.125,ERM 1,914941,908958,914941
60,a(3),5,0,0.125,ERM 1,921413,915945,921413
61,l(3),5,0,0.125,ERM 1,928364,922414,928364
62,h(0),5,0,0.125,ERM 1,934444,929366,934444
63,c(5),5,1,0.125,ERM 1,942412,935446,942412
64,c(5),5,1,0.166666666666667,ERM 1,949460,943417,949460
65,h(0),5,0,0.166666666666667,ERM 1,954852,950462,954852
66,i(1),5,0,0.166666666666667,ERM 1,960620,955853,960620
67,k(2),5,0,0.166666666666667,ERM 1,966028,961621,966028
68,l(3),5,0,0.166666666666667,ERM 1,973309,967033,973309
69,f(7),5,0,0.166666666666667,ERM 1,979116,974310,979116
70,g(7),5,0,0.166666666666667,ERM 1,985124,980117,985124
71,g(7),5,0,0.166666666666667,ERM 1,991787,986125,991787
72,g(7),5,0,0.166666666666667,ERM 1,998140,992792,998140
73,i(1),5,0,0.166666666666667,ERM 1,1004132,999141,1004132
74,e(6),5,0,0.166666666666667,ERM 1,1010508,1005134,1010508
75,h(0),5,0,0.166666666666667,ERM 1,1016724,1011511,1016724
76,j(1),5,0,0.166666666666667,ERM 1,1024148,1017725,1024148
77,a(3),5,0,0.166666666666667,ERM 1,1031685,1025150,1031685
78,b(4),5,0,0.166666666666667,ERM 1,1039604,1032686,1039604
79,e(6),5,0,0.166666666666667,ERM 1,1045612,1040608,1045612
80,g(7),5,0,0.125,ERM 1,1051581,1046613,1051581
81,b(4),5,0,0.0833333333333333,ERM 1,1058108,1052583,1058108
82,i(1),5,0,0.0833333333333333,ERM 1,1063579,1059110,1063579
83,j(1),5,0,0.0833333333333333,ERM 1,1069076,1064581,1069076
