id,cond,trial#,realPattern,userAnswer,correct,c1,c2,playstamp,playendstamp,enterstamp,reactionTime
p12,B(Approach),1,21,23,0,1,0,22504,23516,25354,1838
p12,B(Approach),2,43,24,0,0,0,26314,27317,31970,4653
p12,B(Approach),3,14,24,0,0,1,32708,33713,35394,1681
p12,B(Approach),4,24,24,1,1,1,36228,37230,38828,1598
p12,B(Approach),5,32,42,0,0,1,39724,40726,42694,1968
p12,B(Approach),6,41,41,1,1,1,43622,44624,47844,3220
p12,B(Approach),7,24,24,1,1,1,48628,49630,51612,1982
p12,B(Approach),8,43,24,0,0,0,52382,53384,56462,3078
p12,B(Approach),9,42,42,1,1,1,57324,58326,60977,2651
p12,B(Approach),10,21,23,0,1,0,62152,63154,65440,2286
p12,B(Approach),11,41,41,1,1,1,66370,67372,69249,1877
p12,B(Approach),12,24,24,1,1,1,69999,71001,72397,1396
p12,B(Approach),13,14,24,0,0,1,73028,74029,75152,1123
p12,B(Approach),14,41,43,0,1,0,75880,76882,78014,1132
p12,B(Approach),15,12,34,0,0,0,78680,79682,81365,1683
p12,B(Approach),16,42,42,1,1,1,82204,83205,85115,1910
p12,B(Approach),17,31,41,0,0,1,85868,86869,88775,1906
p12,B(Approach),18,32,42,0,0,1,89581,90584,92010,1426
p12,B(Approach),19,23,24,0,1,0,92929,93930,95009,1079
p12,B(Approach),20,34,41,0,0,0,95792,96794,98881,2087
p12,B(Approach),21,14,14,1,1,1,129912,130925,132990,2065
p12,B(Approach),22,23,23,1,1,1,133644,134647,135914,1267
p12,B(Approach),23,23,24,0,1,0,136517,137523,138311,788
p12,B(Approach),24,31,41,0,0,1,138963,139965,140931,966
p12,B(Approach),25,32,42,0,0,1,141633,142635,143883,1248
p12,B(Approach),26,31,41,0,0,1,144628,145631,147137,1506
p12,B(Approach),27,14,24,0,0,1,147828,148829,150232,1403
p12,B(Approach),28,13,24,0,0,0,151091,152093,153465,1372
p12,B(Approach),29,34,42,0,0,0,154376,155378,156450,1072
p12,B(Approach),30,24,24,1,1,1,157128,158129,160248,2119
p12,B(Approach),31,41,42,0,1,0,161186,162188,164152,1964
p12,B(Approach),32,12,12,1,1,1,164821,165823,167501,1678
p12,B(Approach),33,13,13,1,1,1,168463,169465,170941,1476
p12,B(Approach),34,31,42,0,0,0,171758,172760,174616,1856
p12,B(Approach),35,42,42,1,1,1,175346,176348,177802,1454
p12,B(Approach),36,34,43,0,0,0,178602,179604,181279,1675
p12,B(Approach),37,14,24,0,0,1,182110,183112,184703,1591
p12,B(Approach),38,41,41,1,1,1,185445,186447,187784,1337
p12,B(Approach),39,23,23,1,1,1,188528,189530,190959,1429
p12,B(Approach),40,43,24,0,0,0,191764,192765,194073,1308
p12,B(Approach),41,21,23,0,1,0,225959,226965,228080,1115
p12,B(Approach),42,24,24,1,1,1,228756,229757,230608,851
p12,B(Approach),43,13,14,0,1,0,231227,232231,233787,1556
p12,B(Approach),44,42,42,1,1,1,234452,235453,236460,1007
p12,B(Approach),45,12,12,1,1,1,237199,238201,239209,1008
p12,B(Approach),46,21,23,0,1,0,239889,240890,241885,995
p12,B(Approach),47,12,32,0,0,1,242524,243526,244360,834
p12,B(Approach),48,34,34,1,1,1,244983,245984,247201,1217
p12,B(Approach),49,13,14,0,1,0,247827,248830,250129,1299
p12,B(Approach),50,43,43,1,1,1,250759,251760,252925,1165
p12,B(Approach),51,31,31,1,1,1,253592,254593,256362,1769
p12,B(Approach),52,32,42,0,0,1,257009,258010,259423,1413
p12,B(Approach),53,21,23,0,1,0,260067,261069,261855,786
p12,B(Approach),54,13,14,0,1,0,262522,263524,265172,1648
p12,B(Approach),55,23,24,0,1,0,265815,266817,267742,925
p12,B(Approach),56,34,42,0,0,0,268387,269388,270327,939
p12,B(Approach),57,32,42,0,0,1,271015,272016,273483,1467
p12,B(Approach),58,12,12,1,1,1,274118,275120,276052,932
p12,B(Approach),59,42,42,1,1,1,276733,277736,278875,1139
p12,B(Approach),60,43,34,0,0,0,279506,280508,282515,2007
