id,cond,trial#,realPattern,userAnswer,correct,c1,c2,playstamp,playendstamp,enterstamp,reactionTime
p6,A(Baseline1),1,13,14,0,1,0,7617,8619,9763,1144
p6,A(Baseline1),2,32,42,0,0,1,10423,11432,16842,5410
p6,A(Baseline1),3,31,41,0,0,1,17609,18618,20627,2009
p6,A(Baseline1),4,13,14,0,1,0,21327,22329,23959,1630
p6,A(Baseline1),5,12,12,1,1,1,24793,25795,27416,1621
p6,A(Baseline1),6,31,43,0,0,0,28053,29055,32300,3245
p6,A(Baseline1),7,12,12,1,1,1,33104,34106,36406,2300
p6,A(Baseline1),8,13,14,0,1,0,37178,38180,41840,3660
p6,A(Baseline1),9,43,43,1,1,1,42628,43630,45533,1903
p6,A(Baseline1),10,21,21,1,1,1,46338,47340,48974,1634
p6,A(Baseline1),11,12,12,1,1,1,49682,50684,52806,2122
p6,A(Baseline1),12,31,43,0,0,0,53560,54563,57024,2461
p6,A(Baseline1),13,34,43,0,0,0,57740,58742,62160,3418
p6,A(Baseline1),14,32,42,0,0,1,62943,63945,65520,1575
p6,A(Baseline1),15,13,24,0,0,0,66203,67205,69437,2232
p6,A(Baseline1),16,14,14,1,1,1,70093,71095,73301,2206
p6,A(Baseline1),17,23,23,1,1,1,74005,75007,76951,1944
p6,A(Baseline1),18,43,43,1,1,1,77668,78673,80769,2096
p6,A(Baseline1),19,42,42,1,1,1,81637,82639,84530,1891
p6,A(Baseline1),20,23,23,1,1,1,85946,86948,88482,1534
p6,A(Baseline1),21,41,41,1,1,1,119466,120479,124456,3977
p6,A(Baseline1),22,41,41,1,1,1,125198,126201,128272,2071
p6,A(Baseline1),23,21,21,1,1,1,129089,130091,131468,1377
p6,A(Baseline1),24,12,32,0,0,1,132176,133179,134924,1745
p6,A(Baseline1),25,42,41,0,1,0,135614,136616,138255,1639
p6,A(Baseline1),26,42,42,1,1,1,138926,139928,141311,1383
p6,A(Baseline1),27,42,42,1,1,1,142004,143006,144429,1423
p6,A(Baseline1),28,24,24,1,1,1,145140,146142,147470,1328
p6,A(Baseline1),29,24,24,1,1,1,148146,149148,150683,1535
p6,A(Baseline1),30,23,23,1,1,1,151349,152351,154090,1739
p6,A(Baseline1),31,34,42,0,0,0,154794,155796,158387,2591
p6,A(Baseline1),32,12,12,1,1,1,159012,160014,161977,1963
p6,A(Baseline1),33,34,41,0,0,0,162623,163625,167801,4176
p6,A(Baseline1),34,24,24,1,1,1,168503,169506,170985,1479
p6,A(Baseline1),35,32,42,0,0,1,171674,172676,176192,3516
p6,A(Baseline1),36,34,34,1,1,1,176842,177844,179729,1885
p6,A(Baseline1),37,21,21,1,1,1,180373,181376,184066,2690
p6,A(Baseline1),38,21,21,1,1,1,184832,185835,187747,1912
p6,A(Baseline1),39,24,24,1,1,1,188572,189575,192168,2593
p6,A(Baseline1),40,21,21,1,1,1,192914,193915,195417,1502
p6,A(Baseline1),41,43,43,1,1,1,226901,227906,229730,1824
p6,A(Baseline1),42,41,41,1,1,1,230404,231406,232828,1422
p6,A(Baseline1),43,32,42,0,0,1,233543,234545,235888,1343
p6,A(Baseline1),44,42,42,1,1,1,236556,237564,238997,1433
p6,A(Baseline1),45,23,23,1,1,1,239699,240701,245573,4872
p6,A(Baseline1),46,14,14,1,1,1,246402,247403,249511,2108
p6,A(Baseline1),47,41,41,1,1,1,250281,251284,253314,2030
p6,A(Baseline1),48,41,41,1,1,1,254072,255074,257800,2726
p6,A(Baseline1),49,43,43,1,1,1,258566,259569,260890,1321
p6,A(Baseline1),50,24,24,1,1,1,261645,262647,264374,1727
p6,A(Baseline1),51,32,32,1,1,1,265074,266076,267864,1788
p6,A(Baseline1),52,34,34,1,1,1,268603,269605,271204,1599
p6,A(Baseline1),53,31,31,1,1,1,271925,272927,274702,1775
p6,A(Baseline1),54,23,23,1,1,1,275441,276443,278603,2160
p6,A(Baseline1),55,14,14,1,1,1,279365,280367,283685,3318
p6,A(Baseline1),56,31,31,1,1,1,284537,285540,287608,2068
p6,A(Baseline1),57,14,14,1,1,1,288319,289322,291039,1717
p6,A(Baseline1),58,14,34,0,0,1,291832,292834,295995,3161
p6,A(Baseline1),59,43,43,1,1,1,296772,297774,299608,1834
p6,A(Baseline1),60,13,13,1,1,1,300500,301501,305282,3781
