id,cond,trial#,realPattern,userAnswer,correct,c1,c2,playstamp,playendstamp,enterstamp,reactionTime
p9,C(Baseline2),1,13,13,1,1,1,15564,16576,18266,1690
p9,C(Baseline2),2,42,41,0,1,0,19134,20136,22764,2628
p9,C(Baseline2),3,21,21,1,1,1,23791,24796,27413,2617
p9,C(Baseline2),4,12,12,1,1,1,28229,29230,32392,3162
p9,C(Baseline2),5,42,41,0,1,0,35237,36239,38489,2250
p9,C(Baseline2),6,32,42,0,0,1,39400,40402,42720,2318
p9,C(Baseline2),7,21,21,1,1,1,43565,44568,46880,2312
p9,C(Baseline2),8,34,42,0,0,0,47636,48638,50981,2343
p9,C(Baseline2),9,32,31,0,1,0,51793,52795,54505,1710
p9,C(Baseline2),10,42,42,1,1,1,55340,56342,59098,2756
p9,C(Baseline2),11,41,41,1,1,1,60092,61094,63971,2877
p9,C(Baseline2),12,43,43,1,1,1,64812,65814,67822,2008
p9,C(Baseline2),13,12,12,1,1,1,68679,69681,72027,2346
p9,C(Baseline2),14,24,13,0,0,0,73001,74003,76301,2298
p9,C(Baseline2),15,23,23,1,1,1,77118,78120,81070,2950
p9,C(Baseline2),16,42,41,0,1,0,81793,82795,84842,2047
p9,C(Baseline2),17,41,41,1,1,1,85629,86632,88543,1911
p9,C(Baseline2),18,21,23,0,1,0,89491,90494,92546,2052
p9,C(Baseline2),19,31,41,0,0,1,93474,94476,96612,2136
p9,C(Baseline2),20,31,31,1,1,1,97559,98561,100391,1830
p9,C(Baseline2),21,34,31,0,1,0,131897,132905,134648,1743
p9,C(Baseline2),22,23,13,0,0,1,135528,136532,139115,2583
p9,C(Baseline2),23,24,13,0,0,0,139918,140921,143553,2632
p9,C(Baseline2),24,43,43,1,1,1,144448,145451,148093,2642
p9,C(Baseline2),25,13,13,1,1,1,148987,149989,151960,1971
p9,C(Baseline2),26,24,24,1,1,1,153101,154103,156240,2137
p9,C(Baseline2),27,41,41,1,1,1,157213,158215,160293,2078
p9,C(Baseline2),28,31,41,0,0,1,161324,162327,165037,2710
p9,C(Baseline2),29,31,41,0,0,1,165896,166898,169388,2490
p9,C(Baseline2),30,24,24,1,1,1,170233,171235,174217,2982
p9,C(Baseline2),31,13,13,1,1,1,175022,176024,178273,2249
p9,C(Baseline2),32,23,13,0,0,1,179120,180122,182156,2034
p9,C(Baseline2),33,23,24,0,1,0,183116,184118,186037,1919
p9,C(Baseline2),34,14,13,0,1,0,186867,187870,189609,1739
p9,C(Baseline2),35,42,21,0,0,0,190662,191664,193971,2307
p9,C(Baseline2),36,41,41,1,1,1,194758,195760,198061,2301
p9,C(Baseline2),37,43,43,1,1,1,199151,200156,202904,2748
p9,C(Baseline2),38,34,42,0,0,0,203683,204685,206908,2223
p9,C(Baseline2),39,21,23,0,1,0,207672,208675,213453,4778
p9,C(Baseline2),40,34,42,0,0,0,214261,215263,217980,2717
p9,C(Baseline2),41,43,43,1,1,1,249381,250386,252176,1790
p9,C(Baseline2),42,32,42,0,0,1,253025,254029,256180,2151
p9,C(Baseline2),43,24,24,1,1,1,257276,258278,260278,2000
p9,C(Baseline2),44,43,43,1,1,1,261169,262169,264072,1903
p9,C(Baseline2),45,23,24,0,1,0,265020,266022,268902,2880
p9,C(Baseline2),46,41,41,1,1,1,269741,270744,272890,2146
p9,C(Baseline2),47,32,31,0,1,0,273675,274677,276229,1552
p9,C(Baseline2),48,14,13,0,1,0,277327,278330,280332,2002
p9,C(Baseline2),49,12,12,1,1,1,281119,282121,284310,2189
p9,C(Baseline2),50,32,31,0,1,0,285145,286147,288083,1936
p9,C(Baseline2),51,12,12,1,1,1,289091,290093,291774,1681
p9,C(Baseline2),52,12,12,1,1,1,292584,293586,297096,3510
p9,C(Baseline2),53,14,13,0,1,0,297974,298976,300767,1791
p9,C(Baseline2),54,21,13,0,0,0,301648,302650,304405,1755
p9,C(Baseline2),55,14,13,0,1,0,305216,306218,308043,1825
p9,C(Baseline2),56,34,13,0,0,0,309117,310119,312033,1914
p9,C(Baseline2),57,13,13,1,1,1,313335,314337,316156,1819
p9,C(Baseline2),58,31,31,1,1,1,317107,318109,320136,2027
p9,C(Baseline2),59,14,13,0,1,0,321038,322040,323547,1507
p9,C(Baseline2),60,13,13,1,1,1,324562,325564,327306,1742
