trial#,pattern,answer,correct,recentAccuracy,modality,playstamp,playendstamp,enterstamp
1,a(3),5,0,0,ERM 1,230351,0,230361
2,k(2),5,0,0,ERM 1,242453,231368,242453
3,l(3),5,0,0,ERM 1,254350,243455,254350
4,g(7),5,0,0,ERM 1,264573,255356,264573
5,h(0),5,0,0,ERM 1,273509,265574,273509
6,b(4),5,0,0,ERM 1,283005,274514,283005
7,j(1),5,0,0,ERM 1,292229,284007,292229
8,l(3),5,0,0,ERM 1,300734,293232,300734
9,d(5),5,1,0.111111111111111,ERM 1,308534,301735,308534
10,c(5),5,1,0.2,ERM 1,315701,309538,315701
11,k(2),5,0,0.181818181818182,ERM 1,322982,316703,322982
12,g(7),5,0,0.166666666666667,ERM 1,330653,323983,330653
13,g(7),5,0,0.153846153846154,ERM 1,336062,331660,336062
14,g(7),5,0,0.142857142857143,ERM 1,342558,337064,342558
15,d(5),5,1,0.2,ERM 1,352429,343559,352429
16,a(3),5,0,0.1875,ERM 1,357854,353433,357854
17,d(5),5,1,0.235294117647059,ERM 1,363861,358855,363861
18,b(4),5,0,0.222222222222222,ERM 1,369062,364863,369062
19,d(5),5,1,0.263157894736842,ERM 1,375390,370063,375390
20,j(1),5,0,0.25,ERM 1,381949,376391,381949
21,l(3),5,0,0.238095238095238,ERM 1,387382,382954,387382
22,c(5),5,1,0.272727272727273,ERM 1,392669,388383,392669
23,f(7),5,0,0.260869565217391,ERM 1,398358,393670,398358
24,l(3),5,0,0.25,ERM 1,404582,399359,404582
25,a(3),5,0,0.25,ERM 1,412573,405588,412574
26,h(0),5,0,0.25,ERM 1,417790,413575,417790
27,c(5),5,1,0.291666666666667,ERM 1,424998,418791,424998
28,j(1),5,0,0.291666666666667,ERM 1,430934,425999,430934
29,i(1),5,0,0.291666666666667,ERM 1,436174,431935,436174
30,e(6),5,0,0.291666666666667,ERM 1,442998,437180,442998
31,g(7),5,0,0.291666666666667,ERM 1,447798,443999,447798
32,k(2),5,0,0.291666666666667,ERM 1,453189,448799,453190
33,j(1),5,0,0.25,ERM 1,458214,454191,458214
34,e(6),5,0,0.208333333333333,ERM 1,463654,459215,463654
35,d(5),5,1,0.25,ERM 1,470046,464655,470046
36,d(5),5,1,0.291666666666667,ERM 1,474710,471047,474710
37,f(7),5,0,0.291666666666667,ERM 1,479325,475715,479325
38,f(7),5,0,0.291666666666667,ERM 1,484694,480327,484694
39,j(1),5,0,0.25,ERM 1,489310,485696,489310
40,c(5),5,1,0.291666666666667,ERM 1,494030,490311,494030
41,f(7),5,0,0.25,ERM 1,498719,495032,498719
42,b(4),5,0,0.25,ERM 1,504150,499720,504150
43,b(4),5,0,0.208333333333333,ERM 1,510397,505151,510397
44,k(2),5,0,0.208333333333333,ERM 1,515174,511399,515174
45,h(0),5,0,0.208333333333333,ERM 1,521678,516179,521678
46,a(3),5,0,0.166666666666667,ERM 1,527421,522679,527422
47,j(1),5,0,0.166666666666667,ERM 1,534102,528423,534102
48,l(3),5,0,0.166666666666667,ERM 1,539302,535104,539302
49,l(3),5,0,0.166666666666667,ERM 1,543910,540303,543910
50,i(1),5,0,0.166666666666667,ERM 1,548862,544911,548862
51,e(6),5,0,0.125,ERM 1,554646,549864,554647
52,d(5),5,1,0.166666666666667,ERM 1,559902,555648,559902
53,i(1),5,0,0.166666666666667,ERM 1,564838,560910,564838
54,b(4),5,0,0.166666666666667,ERM 1,571526,565839,571526
55,k(2),5,0,0.166666666666667,ERM 1,576661,572527,576661
56,a(3),5,0,0.166666666666667,ERM 1,581701,577669,581702
57,b(4),5,0,0.166666666666667,ERM 1,590222,582703,590222
58,b(4),5,0,0.166666666666667,ERM 1,595061,591224,595061
59,h(0),5,0,0.125,ERM 1,599870,596068,599870
60,k(2),5,0,0.0833333333333333,ERM 1,606142,600871,606142
61,i(1),5,0,0.0833333333333333,ERM 1,610622,607143,610622
62,h(0),5,0,0.0833333333333333,ERM 1,617205,611626,617205
63,e(6),5,0,0.0833333333333333,ERM 1,622477,618207,622477
64,a(3),5,0,0.0416666666666667,ERM 1,628557,623479,628558
65,i(1),5,0,0.0416666666666667,ERM 1,633389,629563,633389
66,k(2),5,0,0.0416666666666667,ERM 1,637910,634391,637910
67,a(3),5,0,0.0416666666666667,ERM 1,645022,638911,645022
68,l(3),5,0,0.0416666666666667,ERM 1,649943,646027,649943
69,j(1),5,0,0.0416666666666667,ERM 1,655213,650944,655214
70,d(5),5,1,0.0833333333333333,ERM 1,659942,656215,659942
71,i(1),5,0,0.0833333333333333,ERM 1,664566,660947,664566
72,l(3),5,0,0.0833333333333333,ERM 1,668910,665572,668910
73,b(4),5,0,0.0833333333333333,ERM 1,673605,669912,673605
74,c(5),5,1,0.125,ERM 1,678101,674607,678101
75,c(5),5,1,0.166666666666667,ERM 1,682797,679103,682797
76,k(2),5,0,0.125,ERM 1,687503,683801,687503
77,h(0),5,0,0.125,ERM 1,693207,688504,693207
78,c(5),5,1,0.166666666666667,ERM 1,697653,694209,697653
79,h(0),5,0,0.166666666666667,ERM 1,702245,698654,702245
80,e(6),5,0,0.166666666666667,ERM 1,707885,703247,707885
81,h(0),5,0,0.166666666666667,ERM 1,712182,708886,712182
82,f(7),5,0,0.166666666666667,ERM 1,716126,713186,716126
83,i(1),5,0,0.166666666666667,ERM 1,722413,717127,722413
84,a(3),5,0,0.166666666666667,ERM 1,726381,723414,726381
85,e(6),5,0,0.166666666666667,ERM 1,730238,727383,730239
86,f(7),5,0,0.166666666666667,ERM 1,735077,731240,735077
87,j(1),5,0,0.166666666666667,ERM 1,739838,736079,739838
88,e(6),5,0,0.166666666666667,ERM 1,744022,740842,744022
89,c(5),5,1,0.208333333333333,ERM 1,748654,745024,748654
90,f(7),5,0,0.208333333333333,ERM 1,752502,749655,752502
91,i(1),5,0,0.208333333333333,ERM 1,756406,753504,756406
92,f(7),5,0,0.208333333333333,ERM 1,760206,757410,760206
93,g(7),5,0,0.208333333333333,ERM 1,764102,761207,764102
94,e(6),5,0,0.166666666666667,ERM 1,768038,765103,768038
95,g(7),5,0,0.166666666666667,ERM 1,772478,769039,772478
96,g(7),5,0,0.166666666666667,ERM 1,776573,773479,776573
