"trial.","pattern","answer","confidence","playstamp","playendstamp","enterstamp"
1,220,3,2,1189,3694,5903
2,350,7,2,6843,9346,11640
3,280,6,3,12453,14957,16032
4,240,5,2,16827,19330,23497
5,350,7,2,24250,26754,28627
6,60,1,2,29410,31914,33156
7,340,7,2,33962,36465,40277
8,180,4,3,41038,43541,44476
9,210,4,3,45272,47776,48955
10,210,4,3,49688,52192,53442
11,290,6,3,54180,56684,58301
12,100,2,3,59025,61528,62321
13,300,7,2,63036,65539,66977
14,250,5,2,67720,70223,71834
15,330,7,3,72619,75122,76124
16,0,7,3,76889,79393,81291
17,100,2,3,82029,84532,85483
18,90,2,3,86216,88719,89440
19,240,5,2,90193,92696,93807
20,80,2,3,94669,97173,98149
21,40,7,2,98925,101428,103521
22,280,6,3,104281,106784,107591
23,140,3,2,108291,110795,111883
24,230,5,2,112612,115115,116168
25,170,3,2,116907,119411,120719
26,270,6,3,121452,123955,124762
27,290,6,3,125473,127975,128824
28,280,6,3,129509,132013,132918
29,60,1,2,133660,136163,137833
30,140,3,3,138577,141080,143004
31,10,0,3,143774,146278,147204
32,20,7,2,148052,150556,152225
33,260,5,2,152938,155442,156983
34,160,3,2,157806,160309,164024
35,320,7,3,164751,167254,168238
36,330,7,3,169000,171503,172527
37,340,7,3,173255,175759,176594
38,160,3,2,177514,180018,181666
39,110,3,2,182381,184885,185746
40,330,7,3,186481,188984,190006
41,80,2,3,190777,193281,193909
42,260,6,3,194652,197155,198243
43,230,4,3,198961,201465,202578
44,10,0,3,203298,205801,206949
45,110,2,3,207698,210201,210936
46,70,1,2,211667,214171,215208
47,190,4,3,215975,218478,219163
48,30,0,3,219970,222474,224006
49,290,6,3,224747,227251,228206
50,180,3,1,228904,231408,233546
51,310,7,1,234416,236921,238369
52,50,0,2,239051,241555,243186
53,70,1,2,243948,246452,248568
54,320,7,3,249298,251803,253990
55,220,4,2,254830,257332,258562
56,20,7,2,259282,261786,262717
57,140,3,2,263427,265930,267850
58,0,7,2,268549,271052,272030
59,40,0,2,272775,275278,277525
60,90,2,3,278278,280782,281592
61,200,4,3,282320,284824,286038
62,120,2,3,286806,289309,290183
63,240,4,2,290911,293415,295024
64,190,4,3,295752,298256,299119
65,190,4,3,299889,302392,303218
66,30,0,2,303970,306474,308037
67,300,6,3,308689,311192,311925
68,250,5,2,312606,315110,316320
69,80,2,3,317030,319533,320152
70,90,2,3,320860,323364,323934
71,210,4,3,324649,327152,328019
72,320,6,2,328760,331263,332414
73,50,1,2,333198,335702,336866
74,270,6,3,337532,340035,340906
75,230,4,2,341568,344072,345061
76,340,7,3,345803,348306,349324
77,310,6,2,350318,352823,354215
78,150,3,2,354885,357389,359309
79,200,4,3,361742,364245,365252
80,170,4,3,365987,368489,369347
81,310,7,2,370081,372585,373888
82,0,7,2,374580,377083,378088
83,110,3,2,378829,381333,382010
84,130,3,2,382747,385250,386058
85,40,1,1,386789,389293,390317
86,260,5,2,391065,393568,395249
87,180,4,3,396013,398517,399534
88,100,2,2,400263,402766,403641
89,20,0,3,404824,407328,407942
90,150,4,3,408674,411178,412087
91,150,4,3,412893,415397,416633
92,50,0,2,417365,419869,421028
93,220,4,2,421793,424298,425316
94,160,4,3,426070,428573,430474
95,30,7,2,431210,433713,434539
96,170,3,2,435211,437714,438599
97,130,3,2,439287,441791,442902
98,350,7,2,443582,446085,447056
99,130,3,2,447713,450216,450853
100,120,3,2,451577,454081,454653
101,60,1,2,455386,457890,458902
102,270,6,3,459622,462126,463104
103,70,1,2,463816,466319,467199
104,120,2,2,467903,470407,471123
105,200,3,2,471896,474401,475727
106,300,7,2,476443,478946,480984
107,250,4,2,481724,484228,486156
108,10,0,3,486824,489327,490226
