trial#,pattern,answer,correct,recentAccuracy,modality,playstamp,playendstamp,enterstamp
1,l(3),5,0,0,ERM 1,415071,0,415080
2,k(2),5,0,0,ERM 1,426165,416104,426165
3,c(5),5,1,0.333333333333333,ERM 1,444094,427166,444094
4,h(0),5,0,0.25,ERM 1,454430,445105,454430
5,d(5),5,1,0.4,ERM 1,467294,455431,467294
6,j(1),5,0,0.333333333333333,ERM 1,475390,468305,475390
7,g(7),5,0,0.285714285714286,ERM 1,486550,476392,486550
8,a(3),5,0,0.25,ERM 1,498117,487560,498117
9,j(1),5,0,0.222222222222222,ERM 1,508711,499120,508711
10,e(6),5,0,0.2,ERM 1,518070,509719,518070
11,d(5),5,1,0.272727272727273,ERM 1,525829,519071,525829
12,l(3),5,0,0.25,ERM 1,531421,526839,531422
13,d(5),5,1,0.307692307692308,ERM 1,539525,532423,539525
14,a(3),5,0,0.285714285714286,ERM 1,545366,540527,545366
15,b(4),5,0,0.266666666666667,ERM 1,572750,546376,572750
16,e(6),5,0,0.25,ERM 1,581150,573769,581150
17,c(5),5,1,0.294117647058824,ERM 1,588326,582152,588326
18,e(6),5,0,0.277777777777778,ERM 1,594918,589329,594918
19,a(3),5,0,0.263157894736842,ERM 1,603478,595920,603478
20,a(3),5,0,0.25,ERM 1,609702,604487,609702
21,c(5),5,1,0.285714285714286,ERM 1,615902,610703,615902
22,f(7),5,0,0.272727272727273,ERM 1,622742,616904,622742
23,h(0),5,0,0.260869565217391,ERM 1,630374,623750,630374
24,b(4),5,0,0.25,ERM 1,636046,631376,636046
25,b(4),5,0,0.25,ERM 1,642678,637048,642679
26,k(2),5,0,0.25,ERM 1,649086,643680,649086
27,f(7),5,0,0.208333333333333,ERM 1,654877,650088,654878
28,i(1),5,0,0.208333333333333,ERM 1,660613,655880,660613
29,j(1),5,0,0.166666666666667,ERM 1,666014,661616,666014
30,g(7),5,0,0.166666666666667,ERM 1,671238,667024,671238
31,f(7),5,0,0.166666666666667,ERM 1,676974,672239,676975
32,b(4),5,0,0.166666666666667,ERM 1,682214,677976,682214
33,h(0),5,0,0.166666666666667,ERM 1,687222,683216,687222
34,a(3),5,0,0.166666666666667,ERM 1,692742,688224,692742
35,l(3),5,0,0.125,ERM 1,697903,693744,697903
36,i(1),5,0,0.125,ERM 1,703157,698910,703158
37,k(2),5,0,0.0833333333333333,ERM 1,708510,704160,708510
38,g(7),5,0,0.0833333333333333,ERM 1,715678,709511,715678
39,b(4),5,0,0.0833333333333333,ERM 1,721518,716688,721518
40,j(1),5,0,0.0833333333333333,ERM 1,726798,722520,726798
41,g(7),5,0,0.0416666666666667,ERM 1,732758,727800,732758
42,a(3),5,0,0.0416666666666667,ERM 1,738494,733759,738494
43,g(7),5,0,0.0416666666666667,ERM 1,744990,739499,744990
44,h(0),5,0,0.0416666666666667,ERM 1,752870,745992,752870
45,k(2),5,0,0,ERM 1,758270,753872,758270
46,b(4),5,0,0,ERM 1,763774,759272,763774
47,g(7),5,0,0,ERM 1,770598,764776,770598
48,h(0),5,0,0,ERM 1,776286,771600,776287
49,d(5),5,1,0.0416666666666667,ERM 1,783046,777296,783046
50,a(3),5,0,0.0416666666666667,ERM 1,788750,784047,788750
51,e(6),5,0,0.0416666666666667,ERM 1,793950,789751,793950
52,c(5),5,1,0.0833333333333333,ERM 1,798966,794959,798967
53,b(4),5,0,0.0833333333333333,ERM 1,810111,799968,810111
54,e(6),5,0,0.0833333333333333,ERM 1,815957,811120,815957
55,f(7),5,0,0.0833333333333333,ERM 1,821598,816959,821598
56,k(2),5,0,0.0833333333333333,ERM 1,827205,822599,827206
57,j(1),5,0,0.0833333333333333,ERM 1,833710,828208,833710
58,f(7),5,0,0.0833333333333333,ERM 1,839534,834712,839534
59,d(5),5,1,0.125,ERM 1,846774,840535,846774
60,i(1),5,0,0.125,ERM 1,854110,847775,854110
61,e(6),5,0,0.125,ERM 1,859150,855112,859150
62,k(2),5,0,0.125,ERM 1,869389,860153,869389
63,j(1),5,0,0.125,ERM 1,874926,870391,874926
64,e(6),5,0,0.125,ERM 1,880341,875937,880342
65,a(3),5,0,0.125,ERM 1,892349,881350,892349
66,l(3),5,0,0.125,ERM 1,899070,893367,899070
67,h(0),5,0,0.125,ERM 1,904318,900072,904318
68,d(5),5,1,0.166666666666667,ERM 1,909318,905319,909318
69,l(3),5,0,0.166666666666667,ERM 1,914998,910326,914998
