"X","x","y","action","timestamp","trial","pattern","startpoint","endpoint","startpoint_expected","endpoint_expected"
1,1095.4583,861.54596,"down",1571810985,1,"l(3)",3,4,0,0
2,1095.4583,861.54596,"move",1571810985,1,"l(3)",3,4,0,0
3,1095.2633,860.1815,"move",1571810985,1,"l(3)",3,4,0,0
4,1096.1404,861.2536,"move",1571810985,1,"l(3)",3,4,0,0
5,1098.3821,861.2536,"move",1571810985,1,"l(3)",3,4,0,0
6,1101.0134,862.22815,"move",1571810985,1,"l(3)",3,4,0,0
7,1109.4926,862.9104,"move",1571810985,1,"l(3)",3,4,0,0
8,1117.4844,862.9104,"move",1571810985,1,"l(3)",3,4,0,0
9,1129.6669,864.27484,"move",1571810985,1,"l(3)",3,4,0,0
10,1138.5359,865.152,"move",1571810985,1,"l(3)",3,4,0,0
11,1154.8118,865.0545,"move",1571810985,1,"l(3)",3,4,0,0
12,1170.7953,865.0545,"move",1571810985,1,"l(3)",3,4,0,0
13,1183.8551,865.24945,"move",1571810985,1,"l(3)",3,4,0,0
14,1206.6609,865.152,"move",1571810985,1,"l(3)",3,4,0,0
15,1218.9409,866.0291,"move",1571810985,1,"l(3)",3,4,0,0
16,1236.094,866.90625,"move",1571810985,1,"l(3)",3,4,0,0
17,1256.8531,867.6859,"move",1571810985,1,"l(3)",3,4,0,0
18,1273.9087,869.05035,"move",1571810986,1,"l(3)",3,4,0,0
19,1296.9094,870.02496,"move",1571810986,1,"l(3)",3,4,0,0
20,1315.1346,871.29193,"move",1571810986,1,"l(3)",3,4,0,0
21,1330.6309,872.364,"move",1571810986,1,"l(3)",3,4,0,0
22,1359.4792,872.6564,"move",1571810986,1,"l(3)",3,4,0,0
23,1374.5857,872.26654,"move",1571810986,1,"l(3)",3,4,0,0
24,1396.5143,872.4615,"move",1571810986,1,"l(3)",3,4,0,0
25,1404.2137,872.8513,"move",1571810986,1,"l(3)",3,4,0,0
26,1415.2268,873.631,"move",1571810986,1,"l(3)",3,4,0,0
27,1431.0154,873.8259,"move",1571810986,1,"l(3)",3,4,0,0
28,1442.6132,873.5335,"move",1571810986,1,"l(3)",3,4,0,0
