"trial.","pattern","answer","confidence","playstamp","playendstamp","enterstamp"
1,70,2,2,33089,35598,41988
2,170,4,3,44201,46704,48280
3,150,3,3,49309,51813,53136
4,110,2,3,54096,56600,59086
5,300,7,2,59904,62408,67959
6,60,1,2,68876,71379,73166
7,200,5,2,74023,76526,78730
8,250,6,3,79564,82067,83770
9,320,7,2,84632,87135,88862
10,130,2,2,89839,92342,93714
11,340,0,2,94527,97031,99569
12,210,5,3,100406,102910,104984
13,110,2,2,105771,108273,109306
14,270,6,2,110186,112689,113799
15,0,1,2,114562,117065,118857
16,0,0,3,119706,122208,123239
17,340,7,3,124093,126596,128806
18,30,1,2,129563,132067,133088
19,10,1,2,133916,136420,139980
20,230,5,3,140783,143287,144360
21,90,2,2,145205,147707,150321
22,160,4,3,151174,153677,154553
23,200,5,2,155396,157899,160969
24,30,1,3,161866,164370,166961
25,280,6,3,167813,170316,173800
26,80,2,3,174599,177103,178188
27,220,5,3,179014,181517,182766
28,70,2,3,183653,186157,187479
29,200,5,3,188323,190827,192175
30,130,3,2,192979,195482,196923
31,340,0,3,197763,200266,202827
32,160,4,3,203646,206151,207367
33,100,2,3,208204,210708,211719
34,150,3,2,212535,215038,216523
35,120,3,2,217325,219828,221472
36,140,3,2,222279,224782,225990
37,260,6,3,226769,229272,230917
38,300,6,2,231627,234131,236522
39,20,0,3,237254,239757,241204
40,120,3,2,242086,244589,246159
41,220,5,3,246960,249463,251634
42,290,7,2,252383,254887,259810
43,260,6,3,260537,263042,264308
44,40,1,2,265081,267586,268763
45,30,1,2,269565,272068,273385
46,300,7,3,274211,276715,278442
47,0,0,3,279199,281703,282885
48,180,4,3,283855,286359,287589
49,270,6,3,288491,290995,292237
50,210,5,3,293008,295512,297069
51,310,7,2,297876,300380,302401
52,180,4,1,303179,305682,308791
53,100,2,3,309565,312068,313187
54,180,5,1,313969,316472,318773
55,190,5,2,319525,322029,323099
56,150,3,2,323837,326341,327735
57,240,5,3,328505,331008,332385
58,60,1,2,333172,335675,338046
59,350,0,3,338849,341352,342424
60,110,2,3,343211,345714,346634
61,230,5,3,347517,350021,351174
62,50,1,3,351999,354503,355771
63,250,6,3,356649,359152,360183
64,170,3,2,360990,363492,364948
65,10,1,2,365839,368343,370052
66,220,6,3,370879,373383,374521
67,260,6,3,375200,377703,378709
68,310,7,2,379530,382034,384327
69,140,3,2,385229,387733,389126
70,350,0,3,389984,392487,393589
71,190,5,2,394345,396849,398899
72,10,0,3,399651,402155,403310
73,190,5,3,404644,407148,411172
74,80,2,3,412766,415270,416156
75,290,6,3,417144,419647,420571
76,20,0,3,421309,423813,424987
77,90,2,3,425826,428330,429188
78,330,7,3,430019,432522,433629
79,20,1,2,434404,436907,440864
80,250,6,3,441822,444326,445241
81,40,1,3,446066,448570,449642
82,290,7,2,450536,453040,454370
83,130,3,3,455125,457629,458587
84,120,2,3,459446,461950,462640
85,310,6,3,463407,465911,467351
86,330,7,2,468149,470652,472003
87,60,1,2,472740,475244,476403
88,80,2,3,477238,479742,481515
89,140,3,2,482290,484793,486240
90,350,0,3,487192,489696,491164
91,280,6,3,491978,494481,495625
92,240,5,3,496419,498923,500303
93,230,5,3,501165,503668,504882
94,280,6,2,505702,508205,510182
95,210,5,3,510894,513398,514306
96,70,1,3,515072,517575,519400
97,170,4,3,520375,522878,523882
98,40,1,2,524740,527244,528790
99,240,5,3,529676,532180,533746
100,100,2,3,534534,537038,538059
101,90,2,3,538841,541345,542552
102,50,1,2,543426,545930,547175
103,320,7,2,548014,550517,552399
104,270,6,3,553240,555742,557201
105,50,1,2,558027,560531,561941
106,160,4,3,562710,565214,566469
107,330,7,3,567250,569754,571674
108,320,7,3,572489,574992,576281
