id,group,strategy,armpose,mode,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
p1,digit,baseline,armBody,main,1,6,6,1,176764,179069,187841
p1,digit,baseline,armBody,main,2,7,7,1,190407,192110,194493
p1,digit,baseline,armBody,main,3,3,3,1,196626,198930,200359
p1,digit,baseline,armBody,main,4,0,0,1,202518,206025,207323
p1,digit,baseline,armBody,main,5,4,8,0,209325,212231,215082
p1,digit,baseline,armBody,main,6,8,8,1,217109,220014,228456
p1,digit,baseline,armBody,main,7,1,1,1,231067,232169,234332
p1,digit,baseline,armBody,main,8,0,0,1,236395,239901,241735
p1,digit,baseline,armBody,main,9,6,6,1,243937,246242,253195
p1,digit,baseline,armBody,main,10,5,5,1,257498,260404,264771
p1,digit,baseline,armBody,main,11,1,1,1,266828,267933,269902
p1,digit,baseline,armBody,main,12,7,7,1,271712,273415,275315
p1,digit,baseline,armBody,main,13,7,7,1,277216,278920,281040
p1,digit,baseline,armBody,main,14,2,2,1,284290,286598,291735
p1,digit,baseline,armBody,main,15,2,2,1,293722,296026,298301
p1,digit,baseline,armBody,main,16,8,8,1,300570,303475,307732
p1,digit,baseline,armBody,main,17,1,1,1,310106,311207,313230
p1,digit,baseline,armBody,main,18,2,2,1,323824,326128,328114
p1,digit,baseline,armBody,main,19,1,1,1,330294,331396,333110
p1,digit,baseline,armBody,main,20,7,7,1,334945,336648,338347
p1,digit,baseline,armBody,main,21,9,6,0,390658,392967,401927
p1,digit,baseline,armBody,main,22,0,0,1,404881,408388,409294
p1,digit,baseline,armBody,main,23,8,8,1,411165,414072,418971
p1,digit,baseline,armBody,main,24,7,7,1,421079,422782,424959
p1,digit,baseline,armBody,main,25,6,6,1,427434,429739,440150
p1,digit,baseline,armBody,main,26,4,4,1,442450,445357,450916
p1,digit,baseline,armBody,main,27,0,0,1,453501,457009,457955
p1,digit,baseline,armBody,main,28,4,4,1,459782,462690,468464
p1,digit,baseline,armBody,main,29,9,9,1,470652,472956,475630
p1,digit,baseline,armBody,main,30,8,8,1,477581,480486,483192
p1,digit,baseline,armBody,main,31,2,2,1,485795,488100,493142
p1,digit,baseline,armBody,main,32,3,3,1,495546,497850,500417
p1,digit,baseline,armBody,main,33,1,1,1,503231,504333,506037
p1,digit,baseline,armBody,main,34,8,8,1,507963,510869,513107
p1,digit,baseline,armBody,main,35,6,6,1,515048,517351,527533
p1,digit,baseline,armBody,main,36,6,6,1,530169,532479,539451
p1,digit,baseline,armBody,main,37,5,5,1,541670,544575,546103
p1,digit,baseline,armBody,main,38,9,9,1,548155,550460,551913
p1,digit,baseline,armBody,main,39,5,8,0,553980,556885,560121
p1,digit,baseline,armBody,main,40,3,3,1,562304,564610,566657
p1,digit,baseline,armBody,main,41,2,2,1,608595,610899,613606
p1,digit,baseline,armBody,main,42,5,5,1,615477,618385,619880
p1,digit,baseline,armBody,main,43,9,9,1,622209,624514,626159
p1,digit,baseline,armBody,main,44,9,9,1,628060,630364,631784
p1,digit,baseline,armBody,main,45,3,3,1,635011,637315,639358
p1,digit,baseline,armBody,main,46,0,0,1,641449,644957,646018
p1,digit,baseline,armBody,main,47,5,5,1,648549,651455,652903
p1,digit,baseline,armBody,main,48,4,4,1,655070,657977,664820
p1,digit,baseline,armBody,main,49,3,3,1,666884,669189,670933
p1,digit,baseline,armBody,main,50,4,5,0,673353,676263,684876
