id,group,strategy,armpose,mode,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
p1,digit,baseline,armBody,training,1,2,2,1,55146,57456,59282
p1,digit,baseline,armBody,training,2,3,5,0,61566,63871,66891
p1,digit,baseline,armBody,training,3,1,1,1,71687,72789,75336
p1,digit,baseline,armBody,training,4,7,7,1,77624,79327,81619
p1,digit,baseline,armBody,training,5,3,3,1,84452,86756,88215
p1,digit,baseline,armBody,training,6,0,0,1,90212,93718,95808
p1,digit,baseline,armBody,training,7,4,5,0,129399,132304,134510
p1,digit,baseline,armBody,training,8,8,8,1,141154,144059,146277
p1,digit,baseline,armBody,training,9,2,2,1,149452,151757,158216
p1,digit,baseline,armBody,training,10,9,9,1,171099,173403,174560
p1,digit,baseline,armBody,training,11,5,5,1,176804,179709,182400
p1,digit,baseline,armBody,training,12,0,0,1,184353,187860,190578
p1,digit,baseline,armBody,training,13,8,5,0,192550,195455,206142
p1,digit,baseline,armBody,training,14,9,9,1,208023,210329,212229
p1,digit,baseline,armBody,training,15,4,4,1,219086,221993,225870
p1,digit,baseline,armBody,training,16,1,1,1,228085,229188,231948
p1,digit,baseline,armBody,training,17,6,6,1,256643,258952,263992
p1,digit,baseline,armBody,training,18,5,5,1,266393,269299,270941
p1,digit,baseline,armBody,training,19,6,6,1,273399,275702,288106
p1,digit,baseline,armBody,training,20,7,7,1,290597,292307,294652
