id,group,strategy,armpose,mode,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
p2,digit,hetero,armBody,main,1,6,6,1,279541,281845,288049
p2,digit,hetero,armBody,main,2,5,5,1,290474,293385,295215
p2,digit,hetero,armBody,main,3,9,9,1,297125,299429,300915
p2,digit,hetero,armBody,main,4,8,8,1,302755,305660,311202
p2,digit,hetero,armBody,main,5,0,0,1,313032,316541,317446
p2,digit,hetero,armBody,main,6,9,9,1,319206,321510,322551
p2,digit,hetero,armBody,main,7,5,5,1,324412,327317,328251
p2,digit,hetero,armBody,main,8,1,1,1,330102,331204,332783
p2,digit,hetero,armBody,main,9,0,0,1,334664,338171,340739
p2,digit,hetero,armBody,main,10,2,2,1,342601,344906,345951
p2,digit,hetero,armBody,main,11,8,8,1,347735,350641,355895
p2,digit,hetero,armBody,main,12,4,4,1,358048,360957,364631
p2,digit,hetero,armBody,main,13,8,8,1,366487,369392,372894
p2,digit,hetero,armBody,main,14,6,6,1,375290,377594,382406
p2,digit,hetero,armBody,main,15,9,9,1,384287,386591,387753
p2,digit,hetero,armBody,main,16,8,8,1,389640,392545,396666
p2,digit,hetero,armBody,main,17,0,0,1,398557,402063,403871
p2,digit,hetero,armBody,main,18,1,1,1,405778,406879,408816
p2,digit,hetero,armBody,main,19,8,8,1,410687,413592,419103
p2,digit,hetero,armBody,main,20,3,3,1,421060,423367,443007
p2,digit,hetero,armBody,main,21,9,9,1,521563,523867,525197
p2,digit,hetero,armBody,main,22,2,2,1,527103,529407,532207
p2,digit,hetero,armBody,main,23,5,5,1,534148,537053,538188
p2,digit,hetero,armBody,main,24,5,5,1,540066,542971,543752
p2,digit,hetero,armBody,main,25,2,2,1,545629,547934,548788
p2,digit,hetero,armBody,main,26,0,5,0,550865,554372,556311
p2,digit,hetero,armBody,main,27,0,0,1,558535,562042,562952
p2,digit,hetero,armBody,main,28,6,6,1,564818,567123,572253
p2,digit,hetero,armBody,main,29,4,4,1,574073,576978,583975
p2,digit,hetero,armBody,main,30,7,7,1,585831,587538,588310
p2,digit,hetero,armBody,main,31,7,7,1,590137,591841,593497
p2,digit,hetero,armBody,main,32,3,3,1,595403,597708,604947
p2,digit,hetero,armBody,main,33,1,1,1,606839,607940,609660
p2,digit,hetero,armBody,main,34,4,4,1,611512,614417,616025
p2,digit,hetero,armBody,main,35,3,3,1,617916,620220,627334
p2,digit,hetero,armBody,main,36,4,4,1,629471,632376,637726
p2,digit,hetero,armBody,main,37,1,1,1,639558,640660,642490
p2,digit,hetero,armBody,main,38,6,6,1,644366,646670,650028
p2,digit,hetero,armBody,main,39,4,4,1,651889,654794,658981
p2,digit,hetero,armBody,main,40,2,2,1,660963,663268,666902
p2,digit,hetero,armBody,main,41,9,9,1,738744,741049,742266
p2,digit,hetero,armBody,main,42,1,1,1,744045,745147,746670
p2,digit,hetero,armBody,main,43,7,7,1,748477,750180,751907
p2,digit,hetero,armBody,main,44,3,2,0,753713,756018,759606
p2,digit,hetero,armBody,main,45,2,2,1,761472,763776,764436
p2,digit,hetero,armBody,main,46,7,7,1,766398,768107,769969
p2,digit,hetero,armBody,main,47,5,5,1,771784,774689,775674
p2,digit,hetero,armBody,main,48,3,4,0,777691,779996,787709
p2,digit,hetero,armBody,main,49,7,7,1,789716,791418,792834
p2,digit,hetero,armBody,main,50,6,6,1,794866,797171,803841
