id,group,strategy,armpose,mode,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
p3,digit,hetero,armBody,training,1,6,6,1,141646,143950,152899
p3,digit,hetero,armBody,training,2,8,8,1,154734,157641,161212
p3,digit,hetero,armBody,training,3,3,6,0,163269,165574,183755
p3,digit,hetero,armBody,training,4,4,8,0,185641,188551,192439
p3,digit,hetero,armBody,training,5,0,5,0,195581,199087,207567
p3,digit,hetero,armBody,training,6,9,9,1,209800,212105,214173
p3,digit,hetero,armBody,training,7,2,2,1,215968,218272,222229
p3,digit,hetero,armBody,training,8,4,9,0,224105,227012,236933
p3,digit,hetero,armBody,training,9,0,0,1,240681,244193,255483
p3,digit,hetero,armBody,training,10,8,8,1,257484,260395,265695
p3,digit,hetero,armBody,training,11,9,9,1,268498,270801,273021
p3,digit,hetero,armBody,training,12,3,3,1,274786,277093,280096
p3,digit,hetero,armBody,training,13,7,7,1,281931,283634,290121
p3,digit,hetero,armBody,training,14,5,5,1,291921,294826,297422
p3,digit,hetero,armBody,training,15,1,1,1,299695,300803,302578
p3,digit,hetero,armBody,training,16,7,7,1,304435,306138,308137
p3,digit,hetero,armBody,training,17,2,2,1,309902,312206,317754
p3,digit,hetero,armBody,training,18,1,1,1,319625,320729,322412
p3,digit,hetero,armBody,training,19,5,5,1,324348,327253,331164
p3,digit,hetero,armBody,training,20,6,6,1,332858,335163,338208
