id,group,strategy,armpose,mode,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
p4,digit,baseline,armFront,main,1,0,0,1,362338,365849,367648
p4,digit,baseline,armFront,main,2,6,6,1,372324,374629,376459
p4,digit,baseline,armFront,main,3,3,3,1,378557,380862,382356
p4,digit,baseline,armFront,main,4,3,6,0,384206,386510,391792
p4,digit,baseline,armFront,main,5,4,8,0,393759,396665,401314
p4,digit,baseline,armFront,main,6,1,1,1,403189,404295,406093
p4,digit,baseline,armFront,main,7,7,7,1,407990,409693,411546
p4,digit,baseline,armFront,main,8,7,7,1,413512,415215,416940
p4,digit,baseline,armFront,main,9,9,6,0,418845,421149,426682
p4,digit,baseline,armFront,main,10,7,7,1,428605,430308,432096
p4,digit,baseline,armFront,main,11,2,6,0,434137,436440,443404
p4,digit,baseline,armFront,main,12,4,5,0,446494,449399,458656
p4,digit,baseline,armFront,main,13,9,9,1,461469,463778,465589
p4,digit,baseline,armFront,main,14,8,8,1,467536,470441,472317
p4,digit,baseline,armFront,main,15,1,1,1,474227,475329,477085
p4,digit,baseline,armFront,main,16,7,7,1,478976,480680,482040
p4,digit,baseline,armFront,main,17,6,6,1,483846,486150,493561
p4,digit,baseline,armFront,main,18,0,0,1,495397,498905,499759
p4,digit,baseline,armFront,main,19,1,1,1,501620,502724,504336
p4,digit,baseline,armFront,main,20,2,2,1,506217,508521,509764
p4,digit,baseline,armFront,main,21,5,5,1,593634,596538,598144
p4,digit,baseline,armFront,main,22,5,5,1,600045,602954,604368
p4,digit,baseline,armFront,main,23,2,2,1,606213,608518,609786
p4,digit,baseline,armFront,main,24,6,9,0,611664,613968,619686
p4,digit,baseline,armFront,main,25,3,3,1,621531,623835,625450
p4,digit,baseline,armFront,main,26,9,9,1,627316,629619,631024
p4,digit,baseline,armFront,main,27,5,5,1,632866,635771,637082
p4,digit,baseline,armFront,main,28,1,1,1,638948,640049,641838
p4,digit,baseline,armFront,main,29,4,8,0,643657,646562,652898
p4,digit,baseline,armFront,main,30,9,9,1,654693,657001,658557
p4,digit,baseline,armFront,main,31,4,4,1,660411,663317,666649
p4,digit,baseline,armFront,main,32,6,6,1,668455,670759,676181
p4,digit,baseline,armFront,main,33,5,5,1,678022,680930,682531
p4,digit,baseline,armFront,main,34,9,6,0,684417,686721,697299
p4,digit,baseline,armFront,main,35,8,4,0,699140,702050,709767
p4,digit,baseline,armFront,main,36,0,0,1,711667,715175,715900
p4,digit,baseline,armFront,main,37,2,2,1,717726,720030,720955
p4,digit,baseline,armFront,main,38,2,6,0,722856,725160,732380
p4,digit,baseline,armFront,main,39,0,0,1,734178,737684,738534
p4,digit,baseline,armFront,main,40,3,2,0,740414,742721,746871
p4,digit,baseline,armFront,main,41,4,8,0,788506,791411,801882
p4,digit,baseline,armFront,main,42,8,5,0,803768,806679,813998
p4,digit,baseline,armFront,main,43,5,5,1,815959,818864,822245
p4,digit,baseline,armFront,main,44,0,0,1,824646,828155,829083
p4,digit,baseline,armFront,main,45,3,3,1,830944,833248,835589
p4,digit,baseline,armFront,main,46,8,8,1,837389,840295,850186
p4,digit,baseline,armFront,main,47,8,8,1,852017,854925,856631
p4,digit,baseline,armFront,main,48,1,1,1,858446,859549,861948
p4,digit,baseline,armFront,main,49,7,7,1,870527,872235,874245
p4,digit,baseline,armFront,main,50,6,6,1,876100,878405,884451
