id,group,strategy,armpose,mode,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
p5,digit,baseline,armFront,training,1,6,6,1,158101,160406,164715
p5,digit,baseline,armFront,training,2,1,1,1,174859,175967,181553
p5,digit,baseline,armFront,training,3,9,9,1,184043,186347,190113
p5,digit,baseline,armFront,training,4,3,3,1,323625,325933,327089
p5,digit,baseline,armFront,training,5,9,9,1,329192,331497,332194
p5,digit,baseline,armFront,training,6,4,4,1,341060,343965,345689
p5,digit,baseline,armFront,training,7,0,0,1,347696,351202,352436
p5,digit,baseline,armFront,training,8,0,0,1,354468,357975,358943
p5,digit,baseline,armFront,training,9,4,4,1,360712,363617,365230
p5,digit,baseline,armFront,training,10,3,3,1,366997,369301,370266
p5,digit,baseline,armFront,training,11,8,8,1,375063,377968,380377
p5,digit,baseline,armFront,training,12,8,8,1,403159,406070,408579
p5,digit,baseline,armFront,training,13,1,1,1,410592,411694,413444
p5,digit,baseline,armFront,training,14,6,2,0,415176,417480,422331
p5,digit,baseline,armFront,training,15,5,5,1,429861,432767,437870
p5,digit,baseline,armFront,training,16,2,2,1,439742,442050,443097
p5,digit,baseline,armFront,training,17,2,2,1,444877,447180,448012
p5,digit,baseline,armFront,training,18,7,7,1,449877,451580,453752
p5,digit,baseline,armFront,training,19,5,5,1,455547,458452,460222
p5,digit,baseline,armFront,training,20,7,7,1,462790,464496,466138
