id,group,strategy,armpose,mode,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
p5,digit,hetero,armFront,training,1,1,1,1,132460,133565,135310
p5,digit,hetero,armFront,training,2,0,0,1,136979,140486,141196
p5,digit,hetero,armFront,training,3,8,8,1,143243,146148,146634
p5,digit,hetero,armFront,training,4,5,5,1,148691,151597,152360
p5,digit,hetero,armFront,training,5,1,1,1,154074,155176,156395
p5,digit,hetero,armFront,training,6,9,9,1,158338,160643,160873
p5,digit,hetero,armFront,training,7,9,9,1,162472,164776,165346
p5,digit,hetero,armFront,training,8,2,2,1,166879,169183,169570
p5,digit,hetero,armFront,training,9,8,8,1,171214,174120,174596
p5,digit,hetero,armFront,training,10,4,4,1,176270,179175,179626
p5,digit,hetero,armFront,training,11,3,3,1,181164,183467,184429
p5,digit,hetero,armFront,training,12,7,7,1,186286,187989,189208
p5,digit,hetero,armFront,training,13,7,7,1,190800,192502,193573
p5,digit,hetero,armFront,training,14,6,6,1,195198,197502,198740
p5,digit,hetero,armFront,training,15,3,3,1,200379,202682,205074
p5,digit,hetero,armFront,training,16,6,6,1,206612,208916,209989
p5,digit,hetero,armFront,training,17,2,2,1,211527,213831,215784
p5,digit,hetero,armFront,training,18,4,4,1,217297,220202,221615
p5,digit,hetero,armFront,training,19,0,0,1,223440,226947,227904
p5,digit,hetero,armFront,training,20,5,5,1,229785,232694,233423
