id,group,strategy,armpose,mode,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
p6,digit,hetero,armFront,main,1,9,9,1,44809,47114,48402
p6,digit,hetero,armFront,main,2,9,9,1,50343,52650,57893
p6,digit,hetero,armFront,main,3,3,3,1,59718,62023,63019
p6,digit,hetero,armFront,main,4,2,2,1,64860,67163,70683
p6,digit,hetero,armFront,main,5,6,6,1,72513,74816,76226
p6,digit,hetero,armFront,main,6,9,9,1,78031,80335,81806
p6,digit,hetero,armFront,main,7,3,2,0,83606,85910,92430
p6,digit,hetero,armFront,main,8,8,4,0,94231,97136,101287
p6,digit,hetero,armFront,main,9,2,2,1,103123,105426,108438
p6,digit,hetero,armFront,main,10,1,1,1,110284,111386,113317
p6,digit,hetero,armFront,main,11,2,2,1,117292,119597,122012
p6,digit,hetero,armFront,main,12,7,7,1,123874,125576,127516
p6,digit,hetero,armFront,main,13,5,5,1,129353,132258,133967
p6,digit,hetero,armFront,main,14,4,4,1,135827,138732,140587
p6,digit,hetero,armFront,main,15,1,1,1,142384,143487,144792
p6,digit,hetero,armFront,main,16,8,8,1,146595,149507,151908
p6,digit,hetero,armFront,main,17,5,5,1,153718,156623,158397
p6,digit,hetero,armFront,main,18,1,1,1,160231,161333,162607
p6,digit,hetero,armFront,main,19,6,6,1,164413,166717,167647
p6,digit,hetero,armFront,main,20,8,0,0,169474,172381,174672
p6,digit,hetero,armFront,main,21,6,6,1,212606,214911,216273
p6,digit,hetero,armFront,main,22,7,7,1,218085,219788,221500
p6,digit,hetero,armFront,main,23,5,5,1,223308,226214,228222
p6,digit,hetero,armFront,main,24,7,7,1,230024,231727,233036
p6,digit,hetero,armFront,main,25,9,9,1,234841,237145,238358
p6,digit,hetero,armFront,main,26,0,0,1,240174,243683,244949
p6,digit,hetero,armFront,main,27,6,6,1,246781,249086,250378
p6,digit,hetero,armFront,main,28,7,7,1,252208,253911,255217
p6,digit,hetero,armFront,main,29,3,3,1,257062,259366,260433
p6,digit,hetero,armFront,main,30,0,0,1,262299,265806,266551
p6,digit,hetero,armFront,main,31,9,9,1,268376,270681,272059
p6,digit,hetero,armFront,main,32,8,8,1,273865,276770,277719
p6,digit,hetero,armFront,main,33,0,0,1,279565,283071,283516
p6,digit,hetero,armFront,main,34,4,8,0,285365,288270,291098
p6,digit,hetero,armFront,main,35,2,2,1,292878,295182,299693
p6,digit,hetero,armFront,main,36,3,3,1,301509,303812,305061
p6,digit,hetero,armFront,main,37,0,0,1,306882,310386,310791
p6,digit,hetero,armFront,main,38,7,7,1,312591,314294,315942
p6,digit,hetero,armFront,main,39,3,3,1,317768,320073,321331
p6,digit,hetero,armFront,main,40,8,8,1,323156,326062,327010
p6,digit,hetero,armFront,main,41,1,1,1,369581,370683,372176
p6,digit,hetero,armFront,main,42,6,6,1,374038,376343,377529
p6,digit,hetero,armFront,main,43,5,5,1,379364,382272,384015
p6,digit,hetero,armFront,main,44,1,1,1,385821,386923,388254
p6,digit,hetero,armFront,main,45,4,4,1,390059,392964,394221
p6,digit,hetero,armFront,main,46,5,6,0,396061,398967,404201
p6,digit,hetero,armFront,main,47,4,4,1,406024,408929,410752
p6,digit,hetero,armFront,main,48,4,4,1,412507,415413,416180
p6,digit,hetero,armFront,main,49,2,6,0,417976,420280,422822
p6,digit,hetero,armFront,main,50,0,0,1,424698,428204,428753
