"","id","group","strategy","armpose","mode","count","correct","reactTime"
"1","p1","digit","baseline","armBody","main",50,92,3531.44
"2","p1","digit","baseline","armFront","main",50,74,6574
"3","p1","digit","hetero","armBody","main",50,98,3718.9
"4","p1","digit","hetero","armFront","main",50,98,3172.46
"5","p2","digit","baseline","armBody","main",50,76,3984.06
"6","p2","digit","baseline","armFront","main",50,74,2900.68
"7","p2","digit","hetero","armBody","main",50,94,3245.2
"8","p2","digit","hetero","armFront","main",50,86,3894.34
"9","p3","digit","baseline","armBody","main",50,72,3807.44
"10","p3","digit","baseline","armFront","main",50,90,2688.08
"11","p3","digit","hetero","armBody","main",50,96,3295.66
"12","p3","digit","hetero","armFront","main",50,98,4408.5
"13","p4","digit","baseline","armBody","main",50,96,2028.86
"14","p4","digit","baseline","armFront","main",50,74,3498.5
"15","p4","digit","hetero","armBody","main",50,98,4568.42
"16","p4","digit","hetero","armFront","main",50,98,2596.46
"17","p5","digit","baseline","armBody","main",50,98,1317.26
"18","p5","digit","baseline","armFront","main",50,94,1894.5
"19","p5","digit","hetero","armBody","main",50,100,1510.42
"20","p5","digit","hetero","armFront","main",50,100,1230.38
"21","p6","digit","baseline","armBody","main",50,84,2582.24
"22","p6","digit","baseline","armFront","main",50,96,1555.18
"23","p6","digit","hetero","armBody","main",50,92,2124.5
"24","p6","digit","hetero","armFront","main",50,88,1885.2
"25","p7","digit","baseline","armBody","main",50,80,3886.1
"26","p7","digit","baseline","armFront","main",50,82,3263.36
"27","p7","digit","hetero","armBody","main",50,96,4490.4
"28","p7","digit","hetero","armFront","main",50,90,5317
"29","p8","digit","baseline","armBody","main",50,84,1875.68
"30","p8","digit","baseline","armFront","main",50,98,2126.38
"31","p8","digit","hetero","armBody","main",50,88,2476.5
"32","p8","digit","hetero","armFront","main",50,100,1913.76
"33","p9","digit","baseline","armBody","main",50,58,2853.66
"34","p9","digit","baseline","armFront","main",50,54,3394.5
"35","p9","digit","hetero","armBody","main",50,66,3262.68
"36","p9","digit","hetero","armFront","main",50,64,3247.56
"37","p10","digit","baseline","armBody","main",50,90,2656.56
"38","p10","digit","baseline","armFront","main",50,94,2584.48
"39","p10","digit","hetero","armBody","main",50,96,2984.36
"40","p10","digit","hetero","armFront","main",50,92,3608.5
"41","p11","digit","baseline","armBody","main",50,62,2568.7
"42","p11","digit","baseline","armFront","main",50,60,3083.84
"43","p11","digit","hetero","armBody","main",50,88,9118.8
"44","p11","digit","hetero","armFront","main",50,72,11264.04
